english	source_no	source_word	mode
mint	100444	minute	Listening
books	100099	box	Listening
inexpensive	100100	cheap	Synonym
inexpensive	300522	cheap	Synonym
costly	100101	expensive	Synonym
coconut	100105	chocolate	Listening
coconut	200265	cucumber	Listening
crystal	100112	Christmas	Listening
crossing	100112	Christmas	Listening
denim pants	100114	jeans	Synonym
would like	100115	want	Synonym
slice	100119	cut	Synonym
mop	100123	map	Listening
go on	100130	come on	Listening
go on	300066	get on ~	Listening
hold on	100130	come on	Listening
eating	100132	evening	Listening
eating	300710	meeting	Listening
okay	100137	o'clock	Listening
okay	200528	Osaka	Listening
okay	300087	all right	Synonym
classes	100138	glasses	Listening
crow	100139	cow	Listening
crow	200239	grow	Listening
crow	300350	grow	Listening
parrots	100143	parents	Listening
presents	100143	parents	Listening
patterns	100143	parents	Listening
did	100144	dad	Listening
did	300624	dead	Listening
said	100148	sad	Listening
said	200369	send	Listening
sat	100148	sad	Listening
sat	100568	sit	Listening
sat	300023	sit down	Listening
mum	100150	mother	Synonym
moving	100153	movie	Listening
moving	200206	movie	Listening
moving	200398	morning	Listening
muffin	100153	movie	Listening
nice to see you	100155	nice to meet you	Listening
see you later	100155	nice to meet you	Listening
pleased to meet you	100155	nice to meet you	Synonym
liver	100160	river	Listening
rider	100160	river	Listening
rider	300726	writer	Listening
ribbon	100160	river	Listening
cone	100161	corn	Listening
cone	200746	comb	Listening
able	100163	April	Listening
doughnut	100164	donut	Synonym
ice skate	100166	ice cream	Listening
held	100176	help	Listening
held	200482	help	Listening
held	200636	hill	Listening
shell	100177	sell	Listening
shell	200236	shall	Listening
shell	200521	shelf	Listening
shell	200720	sell	Listening
badly	100182	well	Listening
badly	100182	well	Antonym
teen	100193	team	Listening
hail	100194	hair	Listening
globe	100197	glove	Listening
globe	200123	glove	Listening
globe	200230	grape	Listening
glow	100197	glove	Listening
glow	200123	glove	Listening
glow	200239	grow	Listening
glow	300350	grow	Listening
glow	300357	shine	Synonym
glow	301019	flow	Listening
frown	100199	smile	Antonym
have on	100202	wear	Synonym
have fun	100204	play	Synonym
dizzy	100206	busy	Listening
hey	100210	hi	Listening
verse	100211	nurse	Listening
fountain	100215	mountain	Listening
fountain	200282	mountain	Listening
spacey	100220	spicy	Listening
spiky	100220	spicy	Listening
pitcher	100221	picture	Listening
readily	100222	really	Listening
chess	100225	check	Listening
toil	100230	toy	Listening
peanut	100234	piano	Listening
peanut	200399	parent	Listening
peanut	300494	period	Listening
golden	100237	garden	Listening
golden	100400	Korean	Listening
golden	200644	dolphin	Listening
golden	300488	German	Listening
Portuguese	100238	Japanese	Listening
anguish	100239	English	Listening
anguish	301045	language	Listening
a lot of	100240	much	Synonym
a lot of	100242	many	Synonym
a lot of	300276	plenty of ~	Synonym
shiny	100241	China	Listening
shiny	200646	shampoo	Listening
beg	100244	big	Listening
plants	100248	pants	Listening
plants	300479	prince	Listening
points	100248	pants	Listening
let A see B	100252	show	Synonym
look at	100264	watch	Synonym
commuter	100270	computer	Listening
composer	100270	computer	Listening
mad	100271	angry	Synonym
make food	100273	cook	Synonym
hanger	100283	hamburger	Listening
grasshopper	100291	grandmother	Listening
grasshopper	200143	granddaughter	Listening
swinging	100295	swimming	Listening
skimming	100295	swimming	Listening
singing	100295	swimming	Listening
singing	301007	sightseeing	Listening
sleeping	100295	swimming	Listening
sleeping	300710	meeting	Listening
county	100304	country	Listening
timed	100309	tired	Listening
won't	100310	don't	Listening
wasn't	100311	doesn't	Listening
close to ~	100325	near	Synonym
hen	100335	ten	Listening
hen	200470	hand	Listening
May I help you?	100336	Can I help you?	Listening
parrot	100343	carrot	Listening
parrot	200399	parent	Listening
parrot	300676	carrot	Listening
arch	100345	art	Listening
picket	100348	ticket	Listening
driven	100356	driver	Listening
stupid	100360	student	Listening
stupid	200115	smart	Antonym
stupid	200500	student	Listening
stupid	300465	smart	Antonym
stupid	300871	clever	Antonym
pupil	100360	student	Synonym
pupil	200500	student	Synonym
pupil	300673	public	Listening
dock	100363	dog	Listening
dock	200076	duck	Listening
dock	300614	dark	Listening
hostel	100367	hospital	Listening
hostel	100375	hotel	Listening
restroom	100372	restaurant	Listening
restroom	200064	bedroom	Listening
restroom	200535	restaurant	Listening
librarian	100376	library	Listening
vest	100377	vegetable	Listening
vest	100508	very	Listening
vest	300653	best	Listening
gave	100379	game	Listening
gave	200711	game	Listening
excuse us	100382	excuse me	Listening
excuse him	100382	excuse me	Listening
is	100386	it	Listening
is	100431	it's	Listening
is	200816	if	Listening
mask	100392	ask	Listening
mask	200201	miss	Listening
mask	200472	ask	Listening
mask	300374	mark	Listening
Dennis	100393	tennis	Listening
slip	100403	sleep	Listening
slip	200310	sleep	Listening
pottery	100412	potato	Listening
pottery	200771	potato	Listening
pita	100414	pizza	Listening
jumping	100416	jogging	Listening
hot dish	100418	hot dog	Listening
hat dog	100418	hot dog	Listening
cheer	100421	chair	Listening
wink	100424	week	Listening
wink	300361	sink	Listening
wink	300692	wing	Listening
blight	100426	bright	Listening
mind	100444	minute	Listening
mind	200735	minute	Listening
mind	300439	melt	Listening
good light	100445	good night	Listening
good right	100445	good night	Listening
seeing	100447	skiing	Listening
biscuit	100452	cookie	Synonym
stars	100468	stairs	Listening
stores	100468	stairs	Listening
timer	100471	tiger	Listening
timer	200734	time for ~	Listening
mathematics	100475	math	Synonym
How about that one?	100479	How about this one?	Listening
What about this one?	100479	How about this one?	Listening
cube	100484	cute	Listening
disk	100489	desk	Listening
dusk	100489	desk	Listening
campus	100490	camera	Listening
campus	200263	cabbage	Listening
campus	200340	captain	Listening
campus	200459	camping	Listening
campus	200640	hamster	Listening
campus	300902	cancel	Listening
campus	301038	champion	Listening
walk with ~	100491	talk with ~	Listening
walk with ~	300038	wait for ~	Listening
work with ~	100491	talk with ~	Listening
work with ~	200044	help with ~	Listening
work with ~	300324	work on ~	Listening
milky	100493	milk tea	Listening
hundreds	100499	hundred	Listening
thank you for your better	100501	thank you for your letter	Listening
thank you for your later	100501	thank you for your letter	Listening
berry	100508	very	Listening
ferry	100508	very	Listening
out of	100509	into	Antonym
together with	100510	with	Synonym
without	100510	with	Antonym
pin	100511	pen	Listening
pin	300867	pill	Listening
spool	100514	spoon	Listening
through	100521	throw	Listening
through	300781	truth	Listening
through	300809	though	Listening
twenty-one	100526	twenty	Listening
Africa	100531	America	Listening
jumper	100539	sweater	Synonym
rake	100543	lake	Listening
shows	100546	shoes	Listening
smoky	100548	snowy	Listening
clown	100550	cloud	Listening
clown	200789	cloudy	Listening
good book	100552	good luck	Listening
good job	100552	good luck	Listening
good job	200252	go to ~	Listening
good job	200279	get well	Listening
good job	200804	goodbye	Listening
have a good day	100553	have a nice day	Listening
have a good day	100553	have a nice day	Synonym
have a good day	100555	have a good night's sleep	Listening
have a big day	100553	have a nice day	Listening
have a good weekend	100554	have a nice weekend	Listening
have a nice trip	100555	have a good night's sleep	Listening
lot	100557	not	Listening
hard work	100558	homework	Listening
hard work	200806	housework	Listening
bandana	100559	banana	Listening
curl	100561	girl	Listening
computer store	200001	convenience store	Listening
corner store	200001	convenience store	Listening
candy store	200001	convenience store	Listening
coming	200002	comic	Listening
coming	200175	come in	Listening
coming	200459	camping	Listening
comet	200002	comic	Listening
comet	300343	comedy	Listening
hammer	200005	number	Listening
hammer	200525	harbor	Listening
straw	200007	story	Listening
stopping	200010	shopping	Listening
shocking	200010	shopping	Listening
showing	200010	shopping	Listening
buying	200010	shopping	Synonym
biking	200011	cycling	Synonym
biking	200361	hiking	Listening
as well	200012	also	Synonym
would	200013	should	Listening
showed	200013	should	Listening
ought to	200013	should	Synonym
all again	200016	once again	Listening
come again	200016	once again	Listening
one game	200016	once again	Listening
airmail	200019	airplane	Listening
airmail	300738	airline	Listening
aloud	200020	around	Listening
aloud	300087	all right	Listening
aloud	300956	abroad	Listening
Sorry I'm tired.	200025	Sorry I'm late.	Listening
I am at home.	200025	Sorry I'm late.	Listening
What color is it?	200027	What happened?	Listening
What color is it?	200030	What's the problem?	Listening
What are you waiting for?	200029	What are you looking for?	Listening
What are you doing now?	200029	What are you looking for?	Listening
What are you talking about?	200029	What are you looking for?	Listening
What's the matter?	200030	What's the problem?	Listening
What's the matter?	200030	What's the problem?	Synonym
What's the matter?	200033	What's wrong?	Synonym
Where's the station?	200030	What's the problem?	Listening
How is your father?	200031	How is everything?	Listening
Where is my notebook?	200031	How is everything?	Listening
What is your favorite color?	200031	How is everything?	Listening
How are things?	200031	How is everything?	Synonym
What kind do you want?	200032	What size do you want?	Listening
What time do you have?	200032	What size do you want?	Listening
Which bag do you want?	200032	What size do you want?	Listening
What song do you like?	200032	What size do you want?	Listening
What's this?	200033	What's wrong?	Listening
What's that?	200033	What's wrong?	Listening
What's up?	200033	What's wrong?	Listening
What's new?	200033	What's wrong?	Listening
Is it windy outside?	200034	Is it raining outside?	Listening
Is it snowing outside?	200034	Is it raining outside?	Listening
Is it cloudy outside?	200034	Is it raining outside?	Listening
Can you walk now?	200035	Can you talk now?	Listening
Can you work now?	200035	Can you talk now?	Listening
Can you wait now?	200035	Can you talk now?	Listening
Can you call now?	200035	Can you talk now?	Listening
Will you look at me?	200036	Will you help me?	Listening
Do you know the way to the school?	200037	Do you know the way to the station?	Listening
Do you know the name of the station?	200037	Do you know the way to the station?	Listening
Can you show me the station?	200037	Do you know the way to the station?	Listening
Where is the nearest bus stop?	200038	Where is the nearest station?	Listening
Where is the station now?	200038	Where is the nearest station?	Listening
Where is your station?	200038	Where is the nearest station?	Listening
Where is the big station?	200038	Where is the nearest station?	Listening
How can I go now?	200039	How can I get there?	Listening
How do I get home?	200039	How can I get there?	Listening
Where can I get off?	200039	How can I get there?	Listening
When can I get there?	200039	How can I get there?	Listening
What now?	200040	Why not?	Listening
Why me?	200040	Why not?	Listening
Try it.	200040	Why not?	Listening
Wait up.	200040	Why not?	Listening
Anyone home?	200041	Anything else?	Listening
Something new?	200041	Anything else?	Listening
Anything wrong?	200041	Anything else?	Listening
Nothing much?	200041	Anything else?	Listening
Where can we eat?	200042	Where shall we meet?	Listening
Why shall we wait?	200042	Where shall we meet?	Listening
What shall we need?	200042	Where shall we meet?	Listening
Are you ready to go?	200043	Are you ready to order?	Listening
Do you want some water?	200043	Are you ready to order?	Listening
Would you like to order?	200043	Are you ready to order?	Listening
Are you going to school?	200043	Are you ready to order?	Listening
help me ~	200044	help with ~	Listening
assist with	200044	help with ~	Synonym
over here	200050	over there	Listening
near the door	200050	over there	Listening
near the door	300509	on your left	Listening
under the table	200050	over there	Listening
by the window	200050	over there	Listening
these days	200051	in those days	Listening
on that day	200051	in those days	Listening
at that time	200051	in those days	Listening
beside	200052	behind	Listening
beside	200627	next to ~	Synonym
beside	200815	because	Listening
beside	300113	besides	Listening
between	200052	behind	Listening
between	200743	begin	Listening
between	300073	because	Listening
between	300113	besides	Listening
between	300935	believe	Listening
right here	200053	right now	Listening
light now	200053	right now	Listening
write down	200053	right now	Listening
write down	300812	record	Synonym
night owl	200053	right now	Listening
bathtub	200056	backpack	Listening
handbag	200056	backpack	Listening
handbag	300682	headache	Listening
rucksack	200056	backpack	Synonym
ice wall	200057	rice ball	Listening
right ball	200057	rice ball	Listening
nice doll	200057	rice ball	Listening
rice bowl	200057	rice ball	Listening
onigiri	200057	rice ball	Synonym
came from	200059	come from	Listening
go from	200059	come from	Listening
make plans with ~	200062	make friends with ~	Listening
play games with ~	200062	make friends with ~	Listening
go shopping with ~	200062	make friends with ~	Listening
catch a ball	200063	catch a cold	Listening
get a cold	200063	catch a cold	Listening
catch a bus	200063	catch a cold	Listening
start the day	200066	start to do	Listening
try to do	200066	start to do	Listening
try to do	200814	have to do	Listening
try to do	300825	promise to do	Listening
begin to do	200066	start to do	Synonym
start going	200067	start doing	Listening
begin doing	200067	start doing	Synonym
vanilla	200068	gorilla	Listening
vanilla	300521	valley	Listening
grocery store	200071	supermarket	Synonym
backyard	200079	blackboard	Listening
backyard	200605	schoolyard	Listening
backyard	301014	blackboard	Listening
bookmark	200079	blackboard	Listening
bookmark	301014	blackboard	Listening
muzzle	200080	muscle	Listening
mustard	200080	muscle	Listening
dairy	200081	diary	Listening
diaper	200081	diary	Listening
diamond	200081	diary	Listening
A or B	200082	both A and B	Listening
A and B	200082	both A and B	Listening
flash card	200083	trash can	Listening
glass case	200083	trash can	Listening
lunch bag	200083	trash can	Listening
lunch bag	200084	lunch box	Listening
garbage can	200083	trash can	Synonym
long box	200084	lunch box	Listening
lock box	200084	lunch box	Listening
lunch book	200084	lunch box	Listening
dreamer	200085	drawer	Listening
drama	200085	drawer	Listening
dragon	200085	drawer	Listening
mail bag	200086	mailbox	Listening
milk carton	200086	mailbox	Listening
main road	200086	mailbox	Listening
main road	300139	meanwhile	Listening
bucket	200087	trumpet	Listening
bucket	200749	racket	Listening
bucket	300419	basket	Listening
zero	200088	hero	Listening
zero	200256	cereal	Listening
zero	200685	zebra	Listening
blown	200090	brown	Listening
crown	200090	brown	Listening
crown	200785	crayon	Listening
crown	300098	crime	Listening
crown	300552	crowd	Listening
crown	300804	countryside	Listening
toolbox	200091	toothbrush	Listening
tasty	200094	taxi	Listening
tasty	200506	Tracy	Listening
tasty	200704	delicious	Synonym
cab	200094	taxi	Synonym
postman	200095	postcard	Listening
yell	200096	yeah	Listening
yell	200802	yes	Listening
yell	301057	shout	Synonym
finishing	200097	fishing	Listening
finishing	300138	finally	Listening
facing	200097	fishing	Listening
washing	200097	fishing	Listening
teaching	200097	fishing	Listening
stop talking	200098	stop doing	Listening
shop today	200098	stop doing	Listening
reckless	200099	necklace	Listening
napkin	200099	necklace	Listening
napkin	200772	pumpkin	Listening
napkin	300089	pumpkin	Listening
began	200101	become	Listening
began	200737	before ~	Listening
began	300073	because	Listening
began	300696	become	Listening
began	301072	behave	Listening
move back	200103	move to ~	Listening
relocate to ~	200103	move to ~	Synonym
look for	200104	hunt	Synonym
cheery lessons	200105	cherry blossoms	Listening
shiny blossoms	200105	cherry blossoms	Listening
cherry branches	200105	cherry blossoms	Listening
early blossoms	200105	cherry blossoms	Listening
kit	200106	kid	Listening
kit	200286	kick	Listening
kit	200751	kiss	Listening
around clock	200116	alarm clock	Listening
garden clock	200116	alarm clock	Listening
morning clock	200116	alarm clock	Listening
yellow clock	200116	alarm clock	Listening
around here	200118	near here	Synonym
carton	200120	curtain	Listening
bananas	200122	pajamas	Listening
potatoes	200122	pajamas	Listening
sleepwear	200122	pajamas	Synonym
drill	200124	dress	Listening
came from ~	200128	come to ~	Listening
more than ~	200129	as ~ as ...	Listening
fish is swimming	200131	finish doing	Listening
visit during	200131	finish doing	Listening
English reading	200131	finish doing	Listening
fishing boat	200131	finish doing	Listening
could you ~	200132	would like ~	Listening
want to ~	200132	would like ~	Listening
will you ~	200132	would like ~	Listening
would you ~	200132	would like ~	Listening
want ~	200132	would like ~	Synonym
hair dryer	200135	air conditioner	Listening
water heater	200135	air conditioner	Listening
electric fan	200135	air conditioner	Listening
train station	200136	police station	Listening
train station	200210	fire station	Listening
play station	200136	police station	Listening
bus station	200136	police station	Listening
icy	200138	Italy	Listening
helper	200141	haircut	Listening
helmet	200141	haircut	Listening
helmet	300727	habit	Listening
gladness	200143	granddaughter	Listening
waiting	200145	weekday	Listening
waiting	200790	raining	Listening
waiting	300555	wedding	Listening
pop	200146	pot	Listening
dot	200146	pot	Listening
dot	300259	point	Synonym
live for ~	200147	leave for ~	Listening
leave home	200147	leave for ~	Listening
want to go	200149	want to do	Listening
want to eat	200149	want to do	Listening
want to play	200149	want to do	Listening
want to read	200149	want to do	Listening
walk around ~	200153	talk about ~	Listening
speak about ~	200153	talk about ~	Synonym
carry on	200154	hurry up	Listening
handy up	200154	hurry up	Listening
head up	200154	hurry up	Listening
be quick	200154	hurry up	Synonym
walk far	200155	work hard	Listening
work late	200155	work hard	Listening
word card	200155	work hard	Listening
work fast	200155	work hard	Listening
try hard	200155	work hard	Synonym
have an idea	200156	have no idea	Listening
have to go	200156	have no idea	Listening
have a dog	200156	have no idea	Listening
have some time	200156	have no idea	Listening
be glad about ~	200157	be good at ~	Listening
be glad about ~	200419	be bad at ~	Listening
be looking at ~	200157	be good at ~	Listening
be quick at ~	200157	be good at ~	Listening
go for a ride	200159	go for a drive	Listening
go for a drink	200159	go for a drive	Listening
go for a run	200159	go for a drive	Listening
every way	200160	every day	Listening
every time	200160	every day	Listening
every weekday	200161	every weekend	Listening
every winter	200161	every weekend	Listening
every evening	200161	every weekend	Listening
every ear	200162	every year	Listening
every near	200162	every year	Listening
every hear	200162	every year	Listening
every dear	200162	every year	Listening
grand	200163	ground	Listening
grand	200273	glad	Listening
grand	200765	gram	Listening
unclear	200164	clear	Antonym
unclear	300393	confusing	Synonym
have winner	200165	have dinner	Listening
half dinner	200165	have dinner	Listening
have singer	200165	have dinner	Listening
have winter	200165	have dinner	Listening
eat dinner	200165	have dinner	Synonym
You'll be late next time.	200168	You'll do better next time.	Listening
You can do it next time.	200168	You'll do better next time.	Listening
We'll do better next time.	200168	You'll do better next time.	Listening
You'll do better this time.	200168	You'll do better next time.	Listening
like reading	200170	like doing	Listening
like cooking	200170	like doing	Listening
like going	200170	like doing	Listening
like playing	200170	like doing	Listening
Have lunch.	200171	Have fun.	Listening
Have time.	200171	Have fun.	Listening
Have cake.	200171	Have fun.	Listening
Have milk.	200171	Have fun.	Listening
get in	200173	get into	Listening
get on	200173	get into	Listening
get on	200479	get up	Listening
get on	300067	get off ~	Antonym
go into	200173	get into	Listening
went into	200173	get into	Listening
go to work	200174	go to bed	Listening
go to work	300063	go to school	Listening
go by bus	200174	go to bed	Listening
get here	200176	get there	Listening
get home	200176	get there	Listening
go there	200176	get there	Listening
went there	200176	get there	Listening
allow	200177	all over	Listening
allow	300780	arrive	Listening
allow	300925	announce	Listening
have to study	200179	have a hard time doing	Listening
have trouble	200179	have a hard time doing	Synonym
It's beautiful!	200180	It's wonderful!	Listening
It's colorful!	200180	It's wonderful!	Listening
It's helpful!	200180	It's wonderful!	Listening
It's powerful!	200180	It's wonderful!	Listening
Come in, please.	200181	Best wishes.	ChoicesJaEn
Best fishes.	200181	Best wishes.	Listening
Best teachers.	200181	Best wishes.	Listening
Best pictures.	200181	Best wishes.	Listening
Best windows.	200181	Best wishes.	Listening
I'll do my test.	200182	I'll do my best.	Listening
I'll do my rest.	200182	I'll do my best.	Listening
I'll do my task.	200182	I'll do my best.	Listening
I'll do my work.	200182	I'll do my best.	Listening
expected	200183	excited	Listening
expected	300306	excited	Listening
be fine	200184	be fun	Listening
be full	200184	be fun	Listening
be fast	200184	be fun	Listening
be new	200184	be fun	Listening
be enjoyable	200184	be fun	Synonym
stay close to ~	200185	say goodbye to ~	Listening
stay close to ~	200266	say hello to ~	Listening
Thanks for coming.	200186	Thanks for calling.	Listening
Thanks for waiting.	200186	Thanks for calling.	Listening
Time for calling.	200186	Thanks for calling.	Listening
Thanks for talking.	200186	Thanks for calling.	Listening
It looks great.	200187	It looks good.	Listening
It sounds good.	200187	It looks good.	Listening
It feels good.	200187	It looks good.	Listening
It looks bad.	200187	It looks good.	Listening
I'm glad to see you.	200188	I'm glad to meet you.	Listening
I'm happy to meet you.	200188	I'm glad to meet you.	Listening
I'm glad to help you.	200188	I'm glad to meet you.	Listening
I'm ready to meet you.	200188	I'm glad to meet you.	Listening
I'm glad.	200189	I'm sad.	Listening
I'm excited.	200190	I'm surprised.	Listening
I'm afraid.	200190	I'm surprised.	Listening
That's too big.	200191	That's too bad.	Listening
That's too hard.	200191	That's too bad.	Listening
That's so sad.	200191	That's too bad.	Listening
That is too late.	200191	That's too bad.	Listening
That's a shame.	200191	That's too bad.	Synonym
in place of ~	200195	in front of ~	Listening
in spite of ~	200195	in front of ~	Listening
in charge of ~	200195	in front of ~	Listening
most family	200196	host family	Listening
hot family	200196	host family	Listening
home family	200196	host family	Listening
guest family	200196	host family	Listening
be sorry about ~	200200	worry about ~	Listening
be sorry about ~	300301	be worried about ~	Listening
walk around	200200	worry about ~	Listening
walk around	200400	go around ~	Listening
walk around	200401	turn around	Listening
walk around	200608	look around	Listening
walk around	301011	look forward to ~	Listening
be anxious about ~	200200	worry about ~	Synonym
be anxious about ~	300301	be worried about ~	Synonym
feel calm about ~	200200	worry about ~	Antonym
server	200204	waitress	Synonym
server	301046	service	Listening
as fast	200208	at last	Listening
gas station	200210	fire station	Listening
on the third day	200211	on the first day	Listening
on the birthday	200211	on the first day	Listening
on the school day	200211	on the first day	Listening
accordion	200212	aquarium	Listening
become free	200222	become friends with ~	Listening
meet a friend	200222	become friends with ~	Listening
call a friend	200222	become friends with ~	Listening
off ~	200225	out of ~	Listening
Mexican	200227	American	Listening
Mexican	300335	American	Listening
cheery	200229	cherry	Listening
Jerry	200229	cherry	Listening
orchid	200231	orange	Listening
pitch	200232	peach	Listening
blueberry	200234	strawberry	Listening
talk to A about B	200241	tell A about B	Listening
talk to A about B	200241	tell A about B	Synonym
think about B	200241	tell A about B	Listening
write about B	200241	tell A about B	Listening
learn about B	200241	tell A about B	Listening
There you are.	200244	Here you are.	Listening
Here we go.	200244	Here you are.	Listening
windowpane	200245	window	Listening
miller	200246	mirror	Listening
lead	200247	leave	Listening
lead	200264	leaf	Listening
lead	300360	follow ~	Antonym
lead	300855	guide A to B	Synonym
go away	200247	leave	Synonym
go away	300769	throw away	Listening
triple	200250	travel	Listening
work at ~	200251	walk to ~	Listening
walk home	200251	walk to ~	Listening
walk home	300713	work well	Listening
go on foot	200251	walk to ~	Synonym
go down	200254	climb	Antonym
bad luck	200255	luck	Antonym
syrup	200256	cereal	Listening
yarn	200258	yard	Listening
Thanks for ~.	200259	Thank you for ~.	Listening
Thanks for ~.	200259	Thank you for ~.	Synonym
You are welcome.	200259	Thank you for ~.	Listening
I am thankful.	200259	Thank you for ~.	Listening
mole	200260	more	Listening
less	200260	more	Antonym
less	200458	else	Listening
life	200264	leaf	Listening
life	200378	wife	Listening
before long	200270	soon	Synonym
be ready to do	200272	be happy to do	Listening
be ready to do	300396	be able to do	Listening
be ready to do	300464	be sure to do	Listening
be sorry to do	200272	be happy to do	Listening
be nice to do	200272	be happy to do	Listening
bookcase	200274	suitcase	Listening
born	200276	bone	Listening
born	300319	burn	Listening
born	300632	boring	Listening
fill	200277	feel	Listening
fill	200406	film	Listening
fill	200422	ill	Listening
fill	200636	hill	Listening
fill	300629	fail	Listening
fill	300636	few	Listening
fill	300861	fit	Listening
fill	300867	pill	Listening
fell	200277	feel	Listening
enjoy reading	200278	enjoy doing	Listening
enjoy cooking	200278	enjoy doing	Listening
enjoy singing	200278	enjoy doing	Listening
enjoy skating	200278	enjoy doing	Listening
get sick	200279	get well	Antonym
found	200281	sound	Listening
applaud	200285	clap	Synonym
shake head	200287	shake hands	Listening
take hands	200287	shake hands	Listening
shook hands	200287	shake hands	Listening
wash hands	200287	shake hands	Listening
wash hands	300713	work well	Listening
bug	200288	hug	Listening
bug	200334	mug	Listening
cape	200290	cave	Listening
hot coffee	200293	hot chocolate	Listening
cold chocolate	200293	hot chocolate	Listening
hot chicken	200293	hot chocolate	Listening
in the beginning	200297	at first	Synonym
less and less	200298	more and more	Antonym
rug	200308	run	Listening
rug	200598	carpet	Synonym
ram	200308	run	Listening
highway	200318	Hawaii	Listening
highway	200498	hallway	Listening
That is it.	200319	That's OK.	Listening
All right.	200319	That's OK.	Synonym
spider	200320	spaghetti	Listening
sporty	200320	spaghetti	Listening
earning	200324	earring	Listening
grapefruit	200325	grape juice	Listening
misunderstand	200331	understand	Antonym
soda	200333	sofa	Listening
soda	300752	solar	Listening
softer	200333	sofa	Listening
softer	301064	somewhat	Listening
couch	200333	sofa	Synonym
couch	300804	countryside	Listening
billion	200339	building	Listening
billion	301062	million	Listening
boiling	200339	building	Listening
builder	200339	building	Listening
builder	300500	border	Listening
holding	200339	building	Listening
stay home	200341	go out	Antonym
our lesson	200344	art lesson	Listening
math lesson	200344	art lesson	Listening
art season	200344	art lesson	Listening
art teacher	200344	art lesson	Listening
smack	200347	snack	Listening
goodnight	200348	moonlight	Listening
goodnight	301063	midnight	Listening
contact	200353	concert	Listening
contact	300140	conscious	Listening
contact	300221	contest	Listening
contact	300246	control	Listening
contact	300418	contain	Listening
contact	300476	continue	Listening
contact	300596	concert	Listening
contact	301029	content	Listening
state	200354	stay	Listening
state	200402	skate	Listening
state	300425	condition	Synonym
state	300779	stage	Listening
state	300787	the United States	Listening
google	200357	noodle	Listening
lime	200360	line	Listening
liking	200361	hiking	Listening
hiding	200361	hiking	Listening
care about ~	200362	take care of ~	Listening
care about ~	300250	carry out ~	Listening
vine	200364	view	Listening
eater	200368	heater	Listening
sent	200369	send	Listening
sent	200706	tent	Listening
divide	200371	decide	Listening
