"english","sourceNo","sourceWord","mode"
"How was the weather yesterday?","100027","How is the weather today?","Listening"
"How is the weather there?","100027","How is the weather today?","Listening"
"What day is it today?","100027","How is the weather today?","Listening"
"Is it sunny today?","100027","How is the weather today?","Listening"
"What's the weather like today?","100027","How is the weather today?","Synonym"
"Really?","100028","How about you?","ChoicesJaEn"
"Please say it again.","100028","How about you?","ChoicesJaEn"
"Be careful.","100028","How about you?","ChoicesJaEn"
"What about you?","100028","How about you?","Listening"
"How old are you?","100028","How about you?","Listening"
"Who are you?","100028","How about you?","Listening"
"What about you?","100028","How about you?","Synonym"
"Can you wait for me?","100029","Can you help me?","ChoicesJaEn"
"Can you come here?","100029","Can you help me?","ChoicesJaEn"
"Can you show me?","100029","Can you help me?","ChoicesJaEn"
"Can you call me?","100029","Can you help me?","ChoicesJaEn"
"Can you tell me?","100029","Can you help me?","Listening"
"Can you join me?","100029","Can you help me?","Listening"
"Can you hear me?","100029","Can you help me?","Listening"
"Can you save me?","100029","Can you help me?","Listening"
"Please help me.","100029","Can you help me?","Synonym"
"Are you happy?","100030","Are you all right?","ChoicesJaEn"
"Are you ready?","100030","Are you all right?","ChoicesJaEn"
"Where are you?","100030","Are you all right?","ChoicesJaEn"
"Are you awake?","100030","Are you all right?","Listening"
"Are you okay?","100030","Are you all right?","Listening"
"Are you alone?","100030","Are you all right?","Listening"
"Are you ready?","100030","Are you all right?","Listening"
"Are you okay?","100030","Are you all right?","Synonym"
"went","100036","when","Listening"
"wish","100037","which","Listening"
"wine","100038","why","Listening"
"inside","100041","here","ChoicesJaEn"
"truck","100042","car","ChoicesJaEn"
"bride","100043","bread","Listening"
"pudding","100044","pie","ChoicesJaEn"
"pine","100044","pie","Listening"
"pipe","100044","pie","Listening"
"tie","100044","pie","Listening"
"handball","100046","baseball","Listening"
"his","100052","my","ChoicesJaEn"
"her","100052","my","ChoicesJaEn"
"his","100053","your","ChoicesJaEn"
"her","100053","your","ChoicesJaEn"
"yours","100053","your","Listening"
"in front of","100054","under","ChoicesJaEn"
"inside","100054","under","Listening"
"wolf","100055","bear","ChoicesJaEn"
"deer","100055","bear","ChoicesJaEn"
"pear","100055","bear","Listening"
"sixty","100059","city","Listening"
"lip","100060","tooth","ChoicesJaEn"
"jaw","100060","tooth","ChoicesJaEn"
"gum","100060","tooth","ChoicesJaEn"
"cocoa","100061","cola","Listening"
"comma","100061","cola","Listening"
"kite","100062","sky","Listening"
"spy","100062","sky","Listening"
"arm","100063","foot","ChoicesJaEn"
"toe","100063","foot","ChoicesJaEn"
"arm","100066","hand","ChoicesJaEn"
"arm","100067","eye","Listening"
"note","100068","nose","Listening"
"net","100068","nose","Listening"
"nephew","100072","uncle","ChoicesJaEn"
"niece","100072","uncle","ChoicesJaEn"
"ankle","100072","uncle","Listening"
"jungle","100072","uncle","Listening"
"hut","100073","house","Listening"
"blink","100075","bring","Listening"
"brick","100075","bring","Listening"
"teacup","100076","T-shirt","Listening"
"text","100077","test","Listening"
"niece","100078","cousin","ChoicesJaEn"
"nephew","100078","cousin","ChoicesJaEn"
"cushion","100078","cousin","Listening"
"bracelet","100080","ring","ChoicesJaEn"
"order","100081","orange","Listening"
"open","100081","orange","Listening"
"wish","100082","wash","Listening"
"make dirty","100082","wash","Antonym"
"hot water","100084","water","ChoicesJaEn"
"led","100088","red","Listening"
"gray","100089","green","Listening"
"brick","100090","black","Listening"
"open","100094","come in","ChoicesJaEn"
"go in","100094","come in","Listening"
"enter","100094","come in","Synonym"
"met","100095","meet","Listening"
"mint","100095","meet","Listening"
"note","100097","north","Listening"
"books","100099","box","Listening"
"inexpensive","100100","cheap","Synonym"
"costly","100101","expensive","Synonym"
"Korea","100102","Japan","ChoicesJaEn"
"net","100103","wet","Listening"
"coconut","100105","chocolate","Listening"
"crystal","100112","Christmas","Listening"
"crossing","100112","Christmas","Listening"
"shorts","100114","jeans","ChoicesJaEn"
"denim pants","100114","jeans","Synonym"
"went","100115","want","Listening"
"would like","100115","want","Synonym"
"slice","100119","cut","Synonym"
"promise","100121","practice","Listening"
"protect","100121","practice","Listening"
"open","100122","pull","ChoicesJaEn"
"open","100122","pull","Listening"
"mat","100123","map","Listening"
"mop","100123","map","Listening"
"sponge","100124","towel","ChoicesJaEn"
"heat","100127","light","ChoicesJaEn"
"go on","100130","come on","Listening"
"hold on","100130","come on","Listening"
"noon","100132","evening","ChoicesJaEn"
"eating","100132","evening","Listening"
"okay","100137","o'clock","Listening"
"gloves","100138","glasses","ChoicesJaEn"
"classes","100138","glasses","Listening"
"goat","100139","cow","ChoicesJaEn"
"crow","100139","cow","Listening"
"goat","100140","pig","ChoicesJaEn"
"goat","100141","sheep","ChoicesJaEn"
"sheet","100141","sheep","Listening"
"goat","100141","sheep","Listening"
"brothers","100143","parents","ChoicesJaEn"
"relatives","100143","parents","ChoicesJaEn"
"parrots","100143","parents","Listening"
"presents","100143","parents","Listening"
"patterns","100143","parents","Listening"
"mom","100144","dad","ChoicesJaEn"
"did","100144","dad","Listening"
"mom","100144","dad","Listening"
"said","100148","sad","Listening"
"sat","100148","sad","Listening"
"mom","100150","mother","Synonym"
"mum","100150","mother","Synonym"
"made","100152","May","Listening"
"moving","100153","movie","Listening"
"muffin","100153","movie","Listening"
"nice to see you","100155","nice to meet you","Listening"
"see you later","100155","nice to meet you","Listening"
"pleased to meet you","100155","nice to meet you","Synonym"
"tray","100158","plate","ChoicesJaEn"
"mint","100159","meat","Listening"
"liver","100160","river","Listening"
"rider","100160","river","Listening"
"ribbon","100160","river","Listening"
"cone","100161","corn","Listening"
"able","100163","April","Listening"
"doughnut","100164","donut","Synonym"
"arm","100165","face","ChoicesJaEn"
"ice skate","100166","ice cream","Listening"
"fog","100167","snow","ChoicesJaEn"
"forty","100169","party","Listening"
"want to","100172","will","ChoicesJaEn"
"past","100174","present","ChoicesJaEn"
"past","100174","present","Listening"
"past","100174","present","Antonym"
"held","100176","help","Listening"
"shell","100177","sell","Listening"
"reach","100178","teach","Listening"
"invite","100181","visit","ChoicesJaEn"
"badly","100182","well","Listening"
"badly","100182","well","Antonym"
"relatives","100187","grandparents","ChoicesJaEn"
"brothers","100187","grandparents","ChoicesJaEn"
"crab","100190","club","Listening"
"teen","100193","team","Listening"
"beard","100194","hair","ChoicesJaEn"
"hail","100194","hair","Listening"
"forty","100196","fifty","ChoicesJaEn"
"sixty","100196","fifty","ChoicesJaEn"
"seventy","100196","fifty","ChoicesJaEn"
"sixty","100196","fifty","Listening"
"sock","100197","glove","ChoicesJaEn"
"shoe","100197","glove","ChoicesJaEn"
"globe","100197","glove","Listening"
"glow","100197","glove","Listening"
"anger","100199","smile","ChoicesJaEn"
"frown","100199","smile","Antonym"
"take off","100202","wear","ChoicesJaEn"
"have on","100202","wear","Synonym"
"take off","100202","wear","Antonym"
"have fun","100204","play","Synonym"
"dizzy","100206","busy","Listening"
"shoe","100207","hat","ChoicesJaEn"
"hut","100207","hat","Listening"
"shoe","100207","hat","Listening"
"gloves","100209","coat","ChoicesJaEn"
"hey","100210","hi","Listening"
"verse","100211","nurse","Listening"
"freezing","100213","hot","ChoicesJaEn"
"hut","100213","hot","Listening"
"fountain","100215","mountain","Listening"
"chest","100217","neck","ChoicesJaEn"
"net","100217","neck","Listening"
"chest","100217","neck","Listening"
"salty","100220","spicy","ChoicesJaEn"
"spacey","100220","spicy","Listening"
"spiky","100220","spicy","Listening"
"pitcher","100221","picture","Listening"
"readily","100222","really","Listening"
"am","100224","an","Listening"
"chess","100225","check","Listening"
"before","100227","in","ChoicesJaEn"
"before","100227","in","Listening"
"inside","100227","in","Synonym"
"toil","100230","toy","Listening"
"euro","100231","yen","ChoicesJaEn"
"pound","100231","yen","ChoicesJaEn"
"euro","100231","yen","Listening"
"elbow","100232","knee","ChoicesJaEn"
"ankle","100232","knee","ChoicesJaEn"
"elbow","100232","knee","Listening"
"truck","100233","trip","Listening"
"peanut","100234","piano","Listening"
"golden","100237","garden","Listening"
"Portuguese","100238","Japanese","Listening"
"anguish","100239","English","Listening"
"a lot of","100240","much","Synonym"
"Korea","100241","China","ChoicesJaEn"
"shiny","100241","China","Listening"
"Korea","100241","China","Listening"
"none","100242","many","ChoicesJaEn"
"a lot of","100242","many","Synonym"
"truck","100243","bus","ChoicesJaEn"
"boss","100243","bus","Listening"
"beg","100244","big","Listening"
"plants","100248","pants","Listening"
"points","100248","pants","Listening"
"salty","100249","sour","ChoicesJaEn"
"millimeter","100250","centimeter","ChoicesJaEn"
"mile","100251","kilometer","ChoicesJaEn"
"millimeter","100251","kilometer","ChoicesJaEn"
"let A see B","100252","show","Synonym"
"arm","100255","leg","ChoicesJaEn"
"led","100255","leg","Listening"
"arm","100255","leg","Listening"
"order","100257","menu","ChoicesJaEn"
"price list","100257","menu","ChoicesJaEn"
"order","100257","menu","Listening"
"lizard","100261","snake","ChoicesJaEn"
"frog","100261","snake","ChoicesJaEn"
"crocodile","100261","snake","ChoicesJaEn"
"turtle","100261","snake","ChoicesJaEn"
"lizard","100261","snake","Listening"
"frog","100261","snake","Listening"
"look at","100264","watch","Synonym"
"seventy","100269","seven","Listening"
"commuter","100270","computer","Listening"
"composer","100270","computer","Listening"
"ankle","100271","angry","Listening"
"mad","100271","angry","Synonym"
"make food","100273","cook","Synonym"
"sock","100276","son","Listening"
"open","100280","often","Listening"
"tie","100282","time","Listening"
"hanger","100283","hamburger","Listening"
"shoe","100284","key","ChoicesJaEn"
"p.m.","100289","a.m.","ChoicesJaEn"
"noon","100289","a.m.","ChoicesJaEn"
"p.m.","100289","a.m.","Listening"
"p.m.","100289","a.m.","Antonym"
"grasshopper","100291","grandmother","Listening"
"grandma","100291","grandmother","Synonym"
"flag","100294","fly","Listening"
"swinging","100295","swimming","Listening"
"skimming","100295","swimming","Listening"
"singing","100295","swimming","Listening"
"sleeping","100295","swimming","Listening"
"enter","100299","come","ChoicesJaEn"
"violet","100301","video","Listening"
"county","100304","country","Listening"
"bee","100305","by","Listening"
"timed","100309","tired","Listening"
"won't","100310","don't","Listening"
"wants","100311","doesn't","ChoicesJaEn"
"does","100311","doesn't","ChoicesJaEn"
"wasn't","100311","doesn't","Listening"
"cheerful","100313","kind","ChoicesJaEn"
"kite","100313","kind","Listening"
"Korea","100320","Canada","ChoicesJaEn"
"far from","100325","near","ChoicesJaEn"
"far from","100325","near","Listening"
"close to ~","100325","near","Synonym"
"lukewarm","100329","warm","ChoicesJaEn"
"noon","100331","new","Listening"
"open","100332","off","ChoicesJaEn"
"closed","100332","off","ChoicesJaEn"
"open","100332","off","Listening"
"hen","100335","ten","Listening"
"Hello.","100336","Can I help you?","ChoicesJaEn"
"Thank you.","100336","Can I help you?","ChoicesJaEn"
"Goodbye.","100336","Can I help you?","ChoicesJaEn"
"Good night.","100336","Can I help you?","ChoicesJaEn"
"May I help you?","100336","Can I help you?","Listening"
"Hello.","100336","Can I help you?","Listening"
"Thank you.","100336","Can I help you?","Listening"
"forty","100339","four","Listening"
"parrot","100343","carrot","Listening"
"cabin","100343","carrot","Listening"
"arm","100345","art","Listening"
"arch","100345","art","Listening"
"picket","100348","ticket","Listening"
"note","100349","notebook","Listening"
"arm","100350","finger","ChoicesJaEn"
"arm","100350","finger","Listening"
"open","100353","buy","ChoicesJaEn"
"driven","100356","driver","Listening"
"painter","100357","player","ChoicesJaEn"
"we","100358","you","ChoicesJaEn"
"painter","100359","singer","ChoicesJaEn"
"stupid","100360","student","Listening"
"pupil","100360","student","Synonym"
"teacup","100361","teacher","Listening"
"dock","100363","dog","Listening"
"hostel","100367","hospital","Listening"
"open","100369","put","ChoicesJaEn"
"open","100369","put","Listening"
"restroom","100372","restaurant","Listening"
"hostel","100375","hotel","Listening"
"librarian","100376","library","Listening"
"vest","100377","vegetable","Listening"
"promise","100379","game","ChoicesJaEn"
"gave","100379","game","Listening"
"those","100380","these","ChoicesJaEn"
"we","100380","these","ChoicesJaEn"
"those","100380","these","Listening"
"we","100380","these","Listening"
"we","100381","they","ChoicesJaEn"
"we","100381","they","Listening"
"excuse us","100382","excuse me","Listening"
"excuse him","100382","excuse me","Listening"
"open","100385","push","ChoicesJaEn"
"open","100385","push","Listening"
"is","100386","it","Listening"
"open","100391","use","ChoicesJaEn"
"mask","100392","ask","Listening"
"Dennis","100393","tennis","Listening"
"tray","100394","train","Listening"
"before","100396","from ... to ...","ChoicesJaEn"
"after","100396","from ... to ...","ChoicesJaEn"
"frog","100396","from ... to ...","Listening"
"before","100396","from ... to ...","Listening"
"after","100396","from ... to ...","Listening"
"candle","100397","color","Listening"
"pear","100398","apple","ChoicesJaEn"
"golden","100400","Korean","Listening"
"after","100402","answer","Listening"
"anger","100402","answer","Listening"
"slip","100403","sleep","Listening"
"saw","100405","so","Listening"
"kitten","100410","kitchen","Listening"
"pottery","100412","potato","Listening"
"pita","100414","pizza","Listening"
"walking","100416","jogging","ChoicesJaEn"
"jumping","100416","jogging","Listening"
"walking","100416","jogging","Listening"
"hot dish","100418","hot dog","Listening"
"hat dog","100418","hot dog","Listening"
"rainy season","100420","spring","ChoicesJaEn"
"share","100421","chair","Listening"
"cheer","100421","chair","Listening"
"wink","100424","week","Listening"
"blight","100426","bright","Listening"
"bride","100426","bright","Listening"
"shrimp","100427","shrine","Listening"
"he's","100431","it's","ChoicesJaEn"
"I'm","100431","it's","ChoicesJaEn"
"is","100431","it's","Listening"
"he's","100432","she's","ChoicesJaEn"
"I'm","100432","she's","ChoicesJaEn"
"he's","100432","she's","Listening"
"I'm","100432","she's","Listening"
"this is","100433","that's","ChoicesJaEn"
"that is","100433","that's","ChoicesJaEn"
"I'm","100433","that's","ChoicesJaEn"
"this is","100433","that's","Listening"
"that is","100433","that's","Listening"
"I'm","100434","you're","ChoicesJaEn"
"he's","100434","you're","ChoicesJaEn"
"we're","100434","you're","ChoicesJaEn"
"yours","100434","you're","Listening"
"open","100435","close","ChoicesJaEn"
"open","100435","close","Listening"
"open","100435","close","Antonym"
"mind","100444","minute","Listening"
"mint","100444","minute","Listening"
"good light","100445","good night","Listening"
"good right","100445","good night","Listening"
"seeing","100447","skiing","Listening"
"shot","100449","short","Listening"
"cooking","100452","cookie","Listening"
"biscuit","100452","cookie","Synonym"
"magic","100454","music","Listening"
"noon","100463","morning","ChoicesJaEn"
"noon","100463","morning","Listening"
"frog","100465","from","Listening"
"open","100467","wait","ChoicesJaEn"
"stars","100468","stairs","Listening"
"stores","100468","stairs","Listening"
"wolf","100471","tiger","ChoicesJaEn"
"timer","100471","tiger","Listening"
"open","100473","hate","ChoicesJaEn"
"mathematics","100475","math","Synonym"
"salty","100478","sweet","ChoicesJaEn"
"How much is that one?","100479","How about this one?","ChoicesJaEn"
"Where is it?","100479","How about this one?","ChoicesJaEn"
"Whose is this?","100479","How about this one?","ChoicesJaEn"
"How about that one?","100479","How about this one?","Listening"
"What about this one?","100479","How about this one?","Listening"
"How much is that one?","100479","How about this one?","Listening"
"Where is it?","100479","How about this one?","Listening"
"cube","100484","cute","Listening"
"frog","100486","fruit","Listening"
"candle","100487","candy","Listening"
"disk","100489","desk","Listening"
"dusk","100489","desk","Listening"
"campus","100490","camera","Listening"
"play with ~","100491","talk with ~","ChoicesJaEn"
"know ~","100491","talk with ~","ChoicesJaEn"
"help ~","100491","talk with ~","ChoicesJaEn"
"walk with ~","100491","talk with ~","Listening"
"work with ~","100491","talk with ~","Listening"
"play with ~","100491","talk with ~","Listening"
"green tea","100493","milk tea","ChoicesJaEn"
"green tea","100493","milk tea","Listening"
"milky","100493","milk tea","Listening"
"lemon","100496","eleven","Listening"
"hundreds","100499","hundred","Listening"
"thank you for your call","100501","thank you for your letter","ChoicesJaEn"
"thank you for your present","100501","thank you for your letter","ChoicesJaEn"
"thank you for your email","100501","thank you for your letter","ChoicesJaEn"
"thank you for your picture","100501","thank you for your letter","ChoicesJaEn"
"thank you for your better","100501","thank you for your letter","Listening"
"thank you for your later","100501","thank you for your letter","Listening"
"thank you for your call","100501","thank you for your letter","Listening"
"thank you for your present","100501","thank you for your letter","Listening"
"forty","100504","thirty","ChoicesJaEn"
"forty","100504","thirty","Listening"
"noon","100505","afternoon","ChoicesJaEn"
"after","100505","afternoon","Listening"
"noon","100506","night","ChoicesJaEn"
"Mr.","100507","Ms.","ChoicesJaEn"
"Dr.","100507","Ms.","ChoicesJaEn"
"sir","100507","Ms.","ChoicesJaEn"
"Mr.","100507","Ms.","Listening"
"berry","100508","very","Listening"
"ferry","100508","very","Listening"
"vest","100508","very","Listening"
"onto","100509","into","ChoicesJaEn"
"before","100509","into","ChoicesJaEn"
"inside","100509","into","Listening"
"before","100509","into","Listening"
"out of","100509","into","Antonym"
"wish","100510","with","Listening"
"together with","100510","with","Synonym"
"without","100510","with","Antonym"
"pan","100511","pen","Listening"
"pin","100511","pen","Listening"
"spool","100514","spoon","Listening"
"sheet","100516","shirt","Listening"
"before","100518","on","ChoicesJaEn"
"before","100520","about","ChoicesJaEn"
"after","100520","about","ChoicesJaEn"
"before","100520","about","Listening"
"through","100521","throw","Listening"
"twenty-one","100526","twenty","Listening"
"pound","100530","dollar","ChoicesJaEn"
"euro","100530","dollar","ChoicesJaEn"
"pound","100530","dollar","Listening"
"England","100531","America","ChoicesJaEn"
"Africa","100531","America","Listening"
"England","100531","America","Listening"
"gray","100536","great","Listening"
"flag","100538","floor","Listening"
"jumper","100539","sweater","Synonym"
"rake","100543","lake","Listening"
"gloves","100545","socks","ChoicesJaEn"
"sock","100545","socks","Listening"
"shows","100546","shoes","Listening"
"smoky","100548","snowy","Listening"
"clown","100550","cloud","Listening"
"sock","100551","salt","Listening"
"good book","100552","good luck","Listening"
"good job","100552","good luck","Listening"
"be careful","100553","have a nice day","ChoicesJaEn"
"have a good day","100553","have a nice day","Listening"
"have a big day","100553","have a nice day","Listening"
"have a good day","100553","have a nice day","Synonym"
"take care","100554","have a nice weekend","ChoicesJaEn"
"have a good weekend","100554","have a nice weekend","Listening"
"get up early","100555","have a good night's sleep","ChoicesJaEn"
"eat breakfast","100555","have a good night's sleep","ChoicesJaEn"
"have a good day","100555","have a good night's sleep","Listening"
"have a nice trip","100555","have a good night's sleep","Listening"
"get up early","100555","have a good night's sleep","Listening"
"eat breakfast","100555","have a good night's sleep","Listening"
"lot","100557","not","Listening"
"hard work","100558","homework","Listening"
"bandana","100559","banana","Listening"
"curl","100561","girl","Listening"
"gloves","100566","cap","ChoicesJaEn"
"sat","100568","sit","Listening"
"computer store","200001","convenience store","Listening"
"corner store","200001","convenience store","Listening"
"candy store","200001","convenience store","Listening"
"coming","200002","comic","Listening"
"comet","200002","comic","Listening"
"all of ~","200003","a lot of ~","ChoicesJaEn"
"half of ~","200003","a lot of ~","ChoicesJaEn"
"one of ~","200003","a lot of ~","ChoicesJaEn"
"a little ~","200003","a lot of ~","Listening"
"all of ~","200003","a lot of ~","Listening"
"one of ~","200003","a lot of ~","Listening"
"hammer","200005","number","Listening"
"straw","200007","story","Listening"
"lily","200008","rose","ChoicesJaEn"
"studying","200010","shopping","ChoicesJaEn"
"cooking","200010","shopping","ChoicesJaEn"
"walking","200010","shopping","ChoicesJaEn"
"stopping","200010","shopping","Listening"
"shocking","200010","shopping","Listening"
"showing","200010","shopping","Listening"
"buying","200010","shopping","Synonym"
"running","200011","cycling","ChoicesJaEn"
"dancing","200011","cycling","ChoicesJaEn"
"cooking","200011","cycling","Listening"
"biking","200011","cycling","Synonym"
"as well","200012","also","Synonym"
"would","200013","should","Listening"
"showed","200013","should","Listening"
"ought to","200013","should","Synonym"
"them","200014","then","Listening"
"once a day","200016","once again","Listening"
"all again","200016","once again","Listening"
"come again","200016","once again","Listening"
"one game","200016","once again","Listening"
"yours","200017","years old","Listening"
"airmail","200019","airplane","Listening"
"aloud","200020","around","Listening"
"painter","200022","panda","Listening"
"pan","200022","panda","Listening"
"Thank you for your help.","200025","Sorry I'm late.","ChoicesJaEn"
"Nice to meet you.","200025","Sorry I'm late.","ChoicesJaEn"
"See you again.","200025","Sorry I'm late.","ChoicesJaEn"
"Take care.","200025","Sorry I'm late.","ChoicesJaEn"
"Sorry I'm tired.","200025","Sorry I'm late.","Listening"
"I am at home.","200025","Sorry I'm late.","Listening"
"Where are you going?","200027","What happened?","ChoicesJaEn"
"What time is it?","200027","What happened?","ChoicesJaEn"
"What time is it?","200027","What happened?","Listening"
"What color is it?","200027","What happened?","Listening"
"What do you want?","200027","What happened?","Listening"
"What is your name?","200028","How are you?","ChoicesJaEn"
"What time is it?","200028","How are you?","ChoicesJaEn"
"How old are you?","200028","How are you?","Listening"
"Who are you?","200028","How are you?","Listening"
"Where are you?","200028","How are you?","Listening"
"Where do you live?","200029","What are you looking for?","ChoicesJaEn"
"What time do you get up?","200029","What are you looking for?","ChoicesJaEn"
"What are you waiting for?","200029","What are you looking for?","Listening"
"What are you doing now?","200029","What are you looking for?","Listening"
"What are you talking about?","200029","What are you looking for?","Listening"
"What are you reading?","200029","What are you looking for?","Listening"
"What do you want?","200030","What's the problem?","ChoicesJaEn"
"Where are you going?","200030","What's the problem?","ChoicesJaEn"
"What time is it?","200030","What's the problem?","ChoicesJaEn"
"What's the matter?","200030","What's the problem?","Listening"
"What's your name?","200030","What's the problem?","Listening"
"What color is it?","200030","What's the problem?","Listening"
"Where's the station?","200030","What's the problem?","Listening"
"What's the matter?","200030","What's the problem?","Synonym"
"What's your name?","200031","How is everything?","ChoicesJaEn"
"How much is it?","200031","How is everything?","ChoicesJaEn"
"Where do you live?","200031","How is everything?","ChoicesJaEn"
"How is your father?","200031","How is everything?","Listening"
"How are you today?","200031","How is everything?","Listening"
"Where is my notebook?","200031","How is everything?","Listening"
"What is your favorite color?","200031","How is everything?","Listening"
"How are things?","200031","How is everything?","Synonym"
"What color do you like?","200032","What size do you want?","ChoicesJaEn"
"How much will you pay?","200032","What size do you want?","ChoicesJaEn"
"Which one is yours?","200032","What size do you want?","ChoicesJaEn"
"What time will you go?","200032","What size do you want?","ChoicesJaEn"
"What kind do you want?","200032","What size do you want?","Listening"
"What time do you have?","200032","What size do you want?","Listening"
"Which bag do you want?","200032","What size do you want?","Listening"
"What song do you like?","200032","What size do you want?","Listening"
"Where are you?","200033","What's wrong?","ChoicesJaEn"
"What time is it?","200033","What's wrong?","ChoicesJaEn"
"Are you ready?","200033","What's wrong?","ChoicesJaEn"
"What's this?","200033","What's wrong?","Listening"
"What's that?","200033","What's wrong?","Listening"
"What's up?","200033","What's wrong?","Listening"
"What's new?","200033","What's wrong?","Listening"
"What's the matter?","200033","What's wrong?","Synonym"
"Is it cold outside?","200034","Is it raining outside?","ChoicesJaEn"
"Is it dark outside?","200034","Is it raining outside?","ChoicesJaEn"
"Is it quiet outside?","200034","Is it raining outside?","ChoicesJaEn"
"Is it sunny outside?","200034","Is it raining outside?","ChoicesJaEn"
"Is it windy outside?","200034","Is it raining outside?","Listening"
"Is it snowing outside?","200034","Is it raining outside?","Listening"
"Is it sunny outside?","200034","Is it raining outside?","Listening"
"Is it cloudy outside?","200034","Is it raining outside?","Listening"
"Can you come now?","200035","Can you talk now?","ChoicesJaEn"
"Can you see now?","200035","Can you talk now?","ChoicesJaEn"
"Can you go now?","200035","Can you talk now?","ChoicesJaEn"
"Can you hear now?","200035","Can you talk now?","ChoicesJaEn"
"Can you walk now?","200035","Can you talk now?","Listening"
"Can you work now?","200035","Can you talk now?","Listening"
"Can you wait now?","200035","Can you talk now?","Listening"
"Can you call now?","200035","Can you talk now?","Listening"
"Will you come with me?","200036","Will you help me?","ChoicesJaEn"
"Will you wait for me?","200036","Will you help me?","ChoicesJaEn"
