"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
200025	2	Sorry I'm late.	遅れてごめんなさい	used to apologize for being late	Sorry I'm late.	遅れてごめんなさい。	phrase	2	4	""[""""遅れてごめんなさい"""",""""手伝ってくれてありがとう"""",""""はじめまして"""",""""また会いましょう"""",""""気をつけて""""]""	""[""""Sorry I'm late."""",""""Thank you for your help."""",""""Nice to meet you."""",""""See you again."""",""""Take care.""""]""	""[""""Sorry I'm late."""",""""Sorry I'm tired."""",""""See you later."""",""""Thank you very much."""",""""I am at home.""""]""	[]	[]"
200026	2	sorry	すまない	feeling bad for doing something wrong	I am sorry for the mistake.	私はそのまちがいをすまないと思っています。	adjective	2	5	""[""""すまない"""",""""うれしい"""",""""かなしい"""",""""元気な"""",""""忙しい""""]""	""[""""sorry"""",""""happy"""",""""sad"""",""""fine"""",""""busy""""]""	""[""""sorry"""",""""story"""",""""sunny"""",""""slowly"""",""""sister""""]""	""[{""""word"""":""""sad"""",""""note"""":""""「悲しい」ではなく、申し訳ない気持ちで使うこともある""""}]""	[]"
200027	2	What happened?	どうしたの？	used to ask about a problem or event	You look sad. What happened?	悲しそうだね。どうしたの？	phrase	2	4	""[""""どうしたの？"""",""""元気ですか？"""",""""何を探しているの？"""",""""どこへ行くの？"""",""""何時ですか？""""]""	""[""""What happened?"""",""""How are you?"""",""""What are you looking for?"""",""""Where are you going?"""",""""What time is it?""""]""	""[""""What happened?"""",""""What time is it?"""",""""What color is it?"""",""""What do you want?"""",""""What are you doing?""""]""	[]	[]"
200028	2	How are you?	お元気ですか？	used to ask about someone's condition	Hi, Tom. How are you?	こんにちは、トム。お元気ですか？	phrase	1	5	""[""""お元気ですか？"""",""""どうしたの？"""",""""何を探しているの？"""",""""お名前は何ですか？"""",""""何時ですか？""""]""	""[""""How are you?"""",""""What happened?"""",""""What are you looking for?"""",""""What is your name?"""",""""What time is it?""""]""	""[""""How are you?"""",""""How old are you?"""",""""Who are you?"""",""""Where are you?"""",""""How about you?""""]""	[]	[]"
200029	2	What are you looking for?	何を探しているのですか？	used to ask what someone wants to find	You seem busy. What are you looking for?	忙しそうですね。何を探しているのですか？	phrase	3	3	""[""""何を探しているのですか？"""",""""どうしたの？"""",""""お元気ですか？"""",""""どこに住んでいますか？"""",""""何時に起きますか？""""]""	""[""""What are you looking for?"""",""""What happened?"""",""""How are you?"""",""""Where do you live?"""",""""What time do you get up?""""]""	""[""""What are you looking for?"""",""""What are you waiting for?"""",""""What are you doing now?"""",""""What are you talking about?"""",""""What are you reading?""""]""	[]	[]"
200030	2	What's the problem?	どうしたの？	used to ask what is wrong	What's the problem?	どうしたの？	phrase	2	3	""[""""どうしたの？"""",""""元気ですか？"""",""""何がほしいですか？"""",""""どこへ行くの？"""",""""何時ですか？""""]""	""[""""What's the problem?"""",""""How are you?"""",""""What do you want?"""",""""Where are you going?"""",""""What time is it?""""]""	""[""""What's the problem?"""",""""What's the matter?"""",""""What's your name?"""",""""What color is it?"""",""""Where's the station?""""]""	""[{""""word"""":""""What's the matter?"""",""""note"""":""""ほぼ同じ意味""""}]""	[]"
200031	2	How is everything?	調子はどうですか？	used to ask if things are going well	How is everything?	調子はどうですか？	phrase	2	3	""[""""調子はどうですか？"""",""""どうしたの？"""",""""お名前は何ですか？"""",""""いくらですか？"""",""""どこに住んでいますか？""""]""	""[""""How is everything?"""",""""What's the problem?"""",""""What's your name?"""",""""How much is it?"""",""""Where do you live?""""]""	""[""""How is everything?"""",""""How is your father?"""",""""How are you today?"""",""""Where is my notebook?"""",""""What is your favorite color?""""]""	""[{""""word"""":""""How are things?"""",""""note"""":""""似たあいさつ表現""""}]""	[]"
200032	2	What size do you want?	どのサイズがほしいですか？	used to ask about the size someone wants	What size do you want?	どのサイズがほしいですか？	phrase	2	2	""[""""どのサイズがほしいですか？"""",""""何色が好きですか？"""",""""いくら払いますか？"""",""""どれがあなたのですか？"""",""""何時に行きますか？""""]""	""[""""What size do you want?"""",""""What color do you like?"""",""""How much will you pay?"""",""""Which one is yours?"""",""""What time will you go?""""]""	""[""""What size do you want?"""",""""What kind do you want?"""",""""What time do you have?"""",""""Which bag do you want?"""",""""What song do you like?""""]""	[]	[]"
200033	2	What's wrong?	どうしたの？	used to ask about a problem	You look sad. What's wrong?	悲しそうだね。どうしたの？	phrase	2	4	""[""""どうしたの？"""",""""元気ですか？"""",""""どこですか？"""",""""何時ですか？"""",""""準備はいいですか？""""]""	""[""""What's wrong?"""",""""How are you?"""",""""Where are you?"""",""""What time is it?"""",""""Are you ready?""""]""	""[""""What's wrong?"""",""""What's this?"""",""""What's that?"""",""""What's up?"""",""""What's new?""""]""	""[{""""word"""":""""What's the matter?"""",""""note"""":""""ほぼ同じ意味""""}]""	[]"
200034	2	Is it raining outside?	外は雨ですか。	used to ask if rain is falling outside	I cannot see the sky. Is it raining outside?	空が見えません。外は雨ですか。	sentence	2	3	""[""""外は雨ですか。"""",""""外は寒いですか。"""",""""外は暗いですか。"""",""""外は静かですか。"""",""""外は晴れですか。""""]""	""[""""Is it raining outside?"""",""""Is it cold outside?"""",""""Is it dark outside?"""",""""Is it quiet outside?"""",""""Is it sunny outside?""""]""	""[""""Is it raining outside?"""",""""Is it windy outside?"""",""""Is it snowing outside?"""",""""Is it sunny outside?"""",""""Is it cloudy outside?""""]""	[]	[]"
200035	2	Can you talk now?	今話せますか。	used to ask if someone can speak now	I have a question. Can you talk now?	質問があります。今話せますか。	sentence	2	3	""[""""今話せますか。"""",""""今来られますか。"""",""""今見えますか。"""",""""今行けますか。"""",""""今聞こえますか。""""]""	""[""""Can you talk now?"""",""""Can you come now?"""",""""Can you see now?"""",""""Can you go now?"""",""""Can you hear now?""""]""	""[""""Can you talk now?"""",""""Can you walk now?"""",""""Can you work now?"""",""""Can you wait now?"""",""""Can you call now?""""]""	[]	[]"
200036	2	Will you help me?	手伝ってくれますか	used to ask someone to help you	Will you help me?	手伝ってくれますか。	sentence	2	3	""[""""手伝ってくれますか"""",""""来てくれますか"""",""""待ってくれますか"""",""""見せてくれますか"""",""""教えてくれますか""""]""	""[""""Will you help me?"""",""""Will you come with me?"""",""""Will you wait for me?"""",""""Will you show me?"""",""""Will you tell me?""""]""	""[""""Will you help me?"""",""""Will you tell me?"""",""""Will you wait for me?"""",""""Will you come with me?"""",""""Will you look at me?""""]""	[]	[]"
200037	2	Do you know the way to the station?	駅への道がわかりますか	used to ask if someone knows how to get to the station	Do you know the way to the station?	駅への道がわかりますか。	sentence	3	2	""[""""駅への道がわかりますか"""",""""駅はどこですか"""",""""駅は近いですか"""",""""駅まで歩けますか"""",""""駅に行きますか""""]""	""[""""Do you know the way to the station?"""",""""Where is the station?"""",""""Is the station near here?"""",""""Can I walk to the station?"""",""""Are you going to the station?""""]""	""[""""Do you know the way to the station?"""",""""Do you know the way to the school?"""",""""Do you know the name of the station?"""",""""Can you show me the station?"""",""""Are you going to the station?""""]""	[]	[]"
200038	2	Where is the nearest station?	いちばん近い駅はどこですか	used to ask the location of the closest station	Where is the nearest station?	いちばん近い駅はどこですか。	sentence	3	2	""[""""いちばん近い駅はどこですか"""",""""駅への道がわかりますか"""",""""この駅は新しいですか"""",""""駅まで何分ですか"""",""""駅に行きたいです""""]""	""[""""Where is the nearest station?"""",""""Do you know the way to the station?"""",""""Is this station new?"""",""""How many minutes to the station?"""",""""I want to go to the station.""""]""	""[""""Where is the nearest station?"""",""""Where is the nearest bus stop?"""",""""Where is the station now?"""",""""Where is your station?"""",""""Where is the big station?""""]""	[]	[]"
200039	2	How can I get there?	どうやってそこへ行けますか	used to ask the way to a place	How can I get there?	どうやってそこへ行けますか。	phrase	2	3	""[""""どうやってそこへ行けますか"""",""""これはいくらですか"""",""""今何時ですか"""",""""駅はどこですか"""",""""手伝ってくれますか""""]""	""[""""How can I get there?"""",""""How much is this?"""",""""What time is it?"""",""""Where is the station?"""",""""Can you help me?""""]""	""[""""How can I get there?"""",""""How can I go now?"""",""""How do I get home?"""",""""Where can I get off?"""",""""When can I get there?""""]""	[]	[]"
200040	2	Why not?	もちろん	used to say yes to a suggestion	Why not?	もちろん。	phrase	2	3	""[""""もちろん"""",""""たぶん"""",""""だめです"""",""""知りません"""",""""急いで""""]""	""[""""Why not?"""",""""Maybe."""",""""No way."""",""""I don't know."""",""""Hurry up.""""]""	""[""""Why not?"""",""""What now?"""",""""Why me?"""",""""Try it."""",""""Wait up.""""]""	[]	[]"
200041	2	Anything else?	ほかに何かありますか	used to ask if more is needed	Anything else?	ほかに何かありますか。	phrase	2	3	""[""""ほかに何かありますか"""",""""これは何ですか"""",""""どちらが好きですか"""",""""いつ行きますか"""",""""だれが来ますか""""]""	""[""""Anything else?"""",""""What is this?"""",""""Which do you like?"""",""""When will you go?"""",""""Who will come?""""]""	""[""""Anything else?"""",""""Anyone home?"""",""""Something new?"""",""""Anything wrong?"""",""""Nothing much?""""]""	[]	[]"
200042	2	Where shall we meet?	どこで会いましょうか	used to ask the place to meet	Where shall we meet after school?	放課後、どこで会いましょうか。	phrase	2	3	""[""""どこで会いましょうか"""",""""いつ出発しましょうか"""",""""だれと行きましょうか"""",""""何を食べましょうか"""",""""どうやって帰りましょうか""""]""	""[""""Where shall we meet?"""",""""When shall we leave?"""",""""Who shall we go with?"""",""""What shall we eat?"""",""""How shall we go home?""""]""	""[""""Where shall we meet?"""",""""When shall we leave?"""",""""Where can we eat?"""",""""Why shall we wait?"""",""""What shall we need?""""]""	[]	[]"
200043	2	Are you ready to order?	ご注文の準備はできましたか	used to ask if someone is ready to choose food	Are you ready to order now?	今、ご注文の準備はできましたか。	phrase	2	2	""[""""ご注文の準備はできましたか"""",""""お会計をお願いします"""",""""お水をください"""",""""席は空いていますか"""",""""何名様ですか""""]""	""[""""Are you ready to order?"""",""""Can I have the bill?"""",""""May I have some water?"""",""""Is this seat free?"""",""""How many people?""""]""	""[""""Are you ready to order?"""",""""Are you ready to go?"""",""""Do you want some water?"""",""""Would you like to order?"""",""""Are you going to school?""""]""	[]	[]"
200044	2	help with	～を手伝う	to assist someone with something	Can you help with the dishes?	皿洗いを手伝ってくれますか。	verb	2	3	""[""""～を手伝う"""",""""～を選ぶ"""",""""～を運ぶ"""",""""～を集める"""",""""～を調べる""""]""	""[""""help with"""",""""choose"""",""""carry"""",""""collect"""",""""check""""]""	""[""""help with"""",""""held it"""",""""health"""",""""helmet"""",""""half""""]""	""[{""""word"""":""""assist with"""",""""note"""":""""ややかたい言い方""""}]""	[]"
200045	2	away	離れて	to or in another place	My father is away today.	私の父は今日いません。	adverb	2	3	""[""""離れて"""",""""すぐに"""",""""いっしょに"""",""""外で"""",""""近くに""""]""	""[""""away"""",""""soon"""",""""together"""",""""outside"""",""""near""""]""	""[""""away"""",""""awake"""",""""again"""",""""around"""",""""aunt""""]""	[]	""[{""""word"""":""""near"""",""""note"""":""""近くに""""}]"""
200046	2	later	あとで	at a time after now	See you later.	またあとでね。	adverb	2	4	""[""""あとで"""",""""今"""",""""昨日"""",""""早く"""",""""たぶん""""]""	""[""""later"""",""""now"""",""""yesterday"""",""""early"""",""""maybe""""]""	""[""""later"""",""""letter"""",""""little"""",""""water"""",""""waiter""""]""	[]	""[{""""word"""":""""now"""",""""note"""":""""今""""}]"""
200047	2	at school	学校で	in the school place	I met my friend at school.	私は学校で友だちに会いました。	prepositional phrase	2	3	""[""""学校で"""",""""家で"""",""""公園で"""",""""駅で"""",""""店で""""]""	""[""""at school"""",""""at home"""",""""in the park"""",""""at the station"""",""""at the store""""]""	""[""""at school"""",""""after school"""",""""at home"""",""""at the store"""",""""at the park""""]""	[]	[]"
200048	2	someday	いつか	at some time in the future	I want to visit Canada someday.	私はいつかカナダを訪れたいです。	adverb	2	3	""[""""いつか"""",""""たぶん"""",""""すぐに"""",""""昨日"""",""""毎日""""]""	""[""""someday"""",""""soon"""",""""yesterday"""",""""always"""",""""maybe""""]""	""[""""someday"""",""""Sunday"""",""""somehow"""",""""someone"""",""""sunny""""]""	[]	[]"
200049	2	sometime	いつか	at an unknown time	Let's meet sometime next week.	来週のいつか会いましょう。	adverb	3	2	""[""""いつか"""",""""たまに"""",""""すぐに"""",""""毎週"""",""""昨日""""]""	""[""""sometime"""",""""sometimes"""",""""soon"""",""""weekly"""",""""yesterday""""]""	""[""""sometime"""",""""sometimes"""",""""sunshine"""",""""someone"""",""""summer""""]""	[]	[]"
200050	2	over there	あそこに	in that place far from here	My bag is over there.	私のかばんはあそこにあります。	adverb	2	4	""[""""あそこに"""",""""ここに"""",""""どこに"""",""""中に"""",""""外に""""]""	""[""""over there"""",""""here"""",""""where"""",""""inside"""",""""outside""""]""	""[""""over there"""",""""over here"""",""""older there"""",""""open there"""",""""under there""""]""	[]	[]"
200051	2	in those days	そのころ	at that time in the past	In those days, my father was a student.	そのころ、私の父は学生でした。	adverb	2	2	""[""""そのころ"""",""""いま"""",""""すぐに"""",""""毎日"""",""""明日""""]""	""[""""in those days"""",""""now"""",""""soon"""",""""every day"""",""""tomorrow""""]""	""[""""in those days"""",""""in these days"""",""""on those days"""",""""in the day"""",""""in those rooms""""]""	""[{""""word"""":""""then"""",""""note"""":""""過去のその時""""}]""	[]"
200052	2	behind	うしろに	at the back of something	The dog is behind the door.	その犬はドアのうしろにいます。	preposition	2	3	""[""""うしろに"""",""""前に"""",""""中に"""",""""上に"""",""""下に""""]""	""[""""behind"""",""""in front of"""",""""in"""",""""on"""",""""under""""]""	""[""""behind"""",""""beside"""",""""between"""",""""below"""",""""before""""]""	[]	""[{""""word"""":""""in front of"""",""""note"""":""""前に""""}]"""
200053	2	right now	いま	at this moment	I am busy right now.	私はいま忙しいです。	adverb	2	3	""[""""いま"""",""""昨日"""",""""明日"""",""""ときどき"""",""""すぐに""""]""	""[""""right now"""",""""yesterday"""",""""tomorrow"""",""""sometimes"""",""""soon""""]""	""[""""right now"""",""""right here"""",""""light now"""",""""write down"""",""""night owl""""]""	""[{""""word"""":""""now"""",""""note"""":""""より短い基本表現""""}]""	[]"
200054	2	now	今	at this time	I am busy now.	私は今忙しいです。	adverb	1	5	""[""""今"""",""""昨日"""",""""明日"""",""""すぐに"""",""""いつも""""]""	""[""""now"""",""""today"""",""""soon"""",""""always"""",""""then""""]""	""[""""now"""",""""how"""",""""not"""",""""name"""",""""night""""]""	""[{""""word"""":""""right now"""",""""note"""":""""より強く「今すぐ」""""}]""	""[{""""word"""":""""later"""",""""note"""":""""あとで""""}]"""
200055	2	at home	家で	in your house	My mother is at home.	私の母は家にいます。	adverb	1	4	""[""""家で"""",""""学校で"""",""""公園で"""",""""店で"""",""""駅で""""]""	""[""""at home"""",""""at school"""",""""at the park"""",""""at the store"""",""""at the station""""]""	""[""""at home"""",""""at school"""",""""at noon"""",""""alone"""",""""hotel""""]""	""[{""""word"""":""""in the house"""",""""note"""":""""場所を表す近い表現""""}]""	""[{""""word"""":""""outside"""",""""note"""":""""外で""""}]"""
200056	2	backpack	リュック	a bag you carry on your back	My backpack is blue.	私のリュックは青いです。	noun	2	3	""[""""リュック"""",""""かばん"""",""""帽子"""",""""靴"""",""""上着""""]""	""[""""backpack"""",""""bag"""",""""cap"""",""""shoe"""",""""jacket""""]""	""[""""backpack"""",""""blackboard"""",""""baseball"""",""""bathtub"""",""""handbag""""]""	""[{""""word"""":""""bag"""",""""note"""":""""より広い意味の語""""},{""""word"""":""""rucksack"""",""""note"""":""""英ではよく使う""""}]""	[]"
200057	2	rice ball	おにぎり	a ball of cooked rice	I ate a rice ball for lunch.	私は昼食におにぎりを食べました。	noun	2	2	""[""""おにぎり"""",""""サンドイッチ"""",""""パン"""",""""スープ"""",""""サラダ""""]""	""[""""rice ball"""",""""sandwich"""",""""bread"""",""""soup"""",""""salad""""]""	""[""""rice ball"""",""""ice wall"""",""""right ball"""",""""nice doll"""",""""rice bowl""""]""	""[{""""word"""":""""onigiri"""",""""note"""":""""Japanese word for rice ball""""}]""	[]"
200058	2	win	勝つ	to be the best in a game or contest	Our team can win this game.	私たちのチームはこの試合に勝てます。	verb	2	4	""[""""勝つ"""",""""負ける"""",""""始める"""",""""止まる"""",""""投げる""""]""	""[""""win"""",""""lose"""",""""start"""",""""stop"""",""""throw""""]""	""[""""win"""",""""wing"""",""""wish"""",""""wet"""",""""when""""]""	[]	""[{""""word"""":""""lose"""",""""note"""":""""試合などで負ける""""}]"""
200059	2	come from	〜の出身である	to be from a place	I come from Japan.	私は日本の出身です。	verb	2	4	""[""""〜の出身である"""",""""〜に住んでいる"""",""""〜へ行く"""",""""〜を知っている"""",""""〜が好きである""""]""	""[""""come from"""",""""live in"""",""""go to"""",""""know"""",""""like""""]""	""[""""come from"""",""""come back"""",""""come in"""",""""came from"""",""""go from""""]""	""[{""""word"""":""""be from"""",""""note"""":""""ほぼ同じ意味""""}]""	[]"
200060	2	join	参加する	to become a member of a group or activity	I want to join the tennis club.	私はテニスクラブに参加したいです。	verb	2	3	""[""""参加する"""",""""出発する"""",""""練習する"""",""""選ぶ"""",""""集める""""]""	""[""""join"""",""""leave"""",""""practice"""",""""choose"""",""""collect""""]""	""[""""join"""",""""joy"""",""""joke"""",""""June"""",""""job""""]""	""[{""""word"""":""""enter"""",""""note"""":""""groupやcontestに入るときにも使う""""}]""	""[{""""word"""":""""leave"""",""""note"""":""""その場やグループを去る""""}]"""
