no	grade	word	meaning	definition	example	exampleMeaning	partOfSpeech	difficulty	frequency	choicesEnJa	choicesJaEn	choicesListening	synonyms	antonyms
100013	1	pet	ペット	an animal kept at home	We have a pet dog at home.	私たちは家でペットの犬を飼っています。	noun	1	4	"[""ペット"",""動物"",""子犬"",""えさ"",""鳥""]"	"[""pet"",""animal"",""puppy"",""food"",""bird""]"	"[""pet"",""pen"",""bed"",""pat"",""pig""]"	[]	[]
100014	1	fish	魚	an animal that lives in water	I can see a fish in the water.	私は水の中に魚が一匹見えます。	noun	1	5	"[""魚"",""鳥"",""犬"",""馬"",""虫""]"	"[""fish"",""bird"",""dog"",""horse"",""insect""]"	"[""fish"",""dish"",""wish"",""ship"",""finish""]"	[]	[]
100015	1	bird	鳥	an animal with wings and feathers	The bird can fly.	その鳥は飛べます。	noun	1	4	"[""鳥"",""犬"",""猫"",""魚"",""馬""]"	"[""bird"",""dog"",""cat"",""fish"",""horse""]"	"[""bird"",""bed"",""board"",""burn"",""word""]"	[]	[]
100016	1	autumn	秋	the season between summer and winter	It is cool in autumn.	秋は涼しいです。	noun	2	3	"[""秋"",""春"",""夏"",""冬"",""季節""]"	"[""autumn"",""spring"",""summer"",""winter"",""season""]"	"[""autumn"",""atom"",""August"",""often"",""awesome""]"	"[{""word"":""fall"",""note"":""アメリカ英語で「秋」を表す語。""}]"	[]
100017	1	shoulder	肩	the top part of your arm	My bag is on my shoulder.	私のかばんは肩にかかっています。	noun	2	3	"[""肩"",""首"",""腕"",""手"",""足""]"	"[""shoulder"",""neck"",""arm"",""hand"",""foot""]"	"[""shoulder"",""soldier"",""shelter"",""shorter"",""holder""]"	[]	[]
100018	1	I'm sorry	ごめんなさい	used to say you are sorry	I'm sorry I'm late.	遅れてごめんなさい。	phrase	1	5	"[""ごめんなさい"",""ありがとう"",""おはよう"",""さようなら"",""お願いします""]"	"[""I'm sorry"",""Thank you"",""Good morning"",""Goodbye"",""Please""]"	"[""I'm sorry"",""I'm sleepy"",""I'm hungry"",""I'm ready"",""I'm happy""]"	"[{""word"":""Sorry"",""note"":""短くてくだけた言い方。""}]"	[]
100019	1	be late for	〜に遅れる	to arrive after the right time	Don't be late for school.	学校に遅れないでください。	verb phrase	2	4	"[""〜に遅れる"",""〜に間に合う"",""〜を休む"",""〜に参加する"",""〜を始める""]"	"[""be late for"",""be on time for"",""be absent from"",""join"",""start""]"	"[""be late for"",""be ready for"",""be good at"",""be kind to"",""be from""]"	[]	"[{""word"":""be on time for"",""note"":""「〜に時間どおりに着く」。""}]"
100020	1	Are you busy?	忙しいですか	used to ask if someone has time	Are you busy now?	今、忙しいですか。	phrase	1	5	"[""忙しいですか"",""元気ですか"",""眠いですか"",""大丈夫ですか"",""準備はいいですか""]"	"[""Are you busy?"",""Are you fine?"",""Are you sleepy?"",""Are you okay?"",""Are you ready?""]"	"[""Are you busy?"",""Are you ready?"",""Are you happy?"",""Are you sleepy?"",""Are you hungry?""]"	[]	[]
100021	1	When is your birthday?	誕生日はいつですか	used to ask someone's birthday	When is your birthday?	誕生日はいつですか。	phrase	1	5	"[""誕生日はいつですか"",""あなたは何歳ですか"",""今日は何日ですか"",""何曜日ですか"",""今何時ですか""]"	"[""When is your birthday?"",""How old are you?"",""What is the date today?"",""What day is it today?"",""What time is it now?""]"	"[""When is your birthday?"",""Where is your notebook?"",""What is your favorite day?"",""When is your bus coming?"",""What is your brother's name?""]"	[]	[]
100022	1	How are you doing?	元気ですか	a friendly way to ask how someone is	How are you doing?	元気ですか。	phrase	1	5	"[""元気ですか"",""お名前は何ですか"",""何歳ですか"",""どこに住んでいますか"",""今何時ですか""]"	"[""How are you doing?"",""What's your name?"",""How old are you?"",""Where do you live?"",""What time is it?""]"	"[""How are you doing?"",""How are you feeling?"",""What are you doing?"",""How have you been?"",""How are you today?""]"	"[{""word"":""How are you?"",""note"":""同じように相手の様子をたずねる表現。""}]"	[]
100023	1	What are you doing?	何をしていますか	used to ask about an action now	What are you doing now?	今、何をしていますか。	phrase	1	5	"[""何をしていますか"",""どこに行きますか"",""何を食べますか"",""誰と話していますか"",""いつ来ますか""]"	"[""What are you doing?"",""Where are you going?"",""What are you eating?"",""Who are you talking to?"",""When are you coming?""]"	"[""What are you doing?"",""What are you reading?"",""What are you making?"",""Where are you going?"",""Why are you waiting?""]"	[]	[]
100024	1	How are you?	お元気ですか	a greeting used to ask how someone is	How are you today?	今日はお元気ですか。	phrase	1	5	"[""お元気ですか"",""お名前は何ですか"",""どこに住んでいますか"",""何歳ですか"",""また会いましょう""]"	"[""How are you?"",""What is your name?"",""Where do you live?"",""How old are you?"",""See you again.""]"	"[""How are you?"",""Who are you?"",""How old are you?"",""How was your day?"",""Where are you?""]"	"[{""word"":""How are you doing?"",""note"":""同じように相手の様子をたずねる表現。""}]"	[]
100025	1	Where are you from?	どこ出身ですか	used to ask someone's country or hometown	Where are you from?	どこ出身ですか。	phrase	1	5	"[""どこ出身ですか"",""お元気ですか"",""何歳ですか"",""どこへ行くのですか"",""何をしていますか""]"	"[""Where are you from?"",""How are you?"",""How old are you?"",""Where are you going?"",""What are you doing?""]"	"[""Where are you from?"",""Where do you live?"",""What are you doing?"",""Where are you going?"",""How are you today?""]"	[]	[]
100026	1	How do you go to school?	どうやって学校に行きますか	used to ask how someone gets to school	How do you go to school?	どうやって学校に行きますか。	phrase	1	5	"[""どうやって学校に行きますか"",""何時に学校へ行きますか"",""だれと学校へ行きますか"",""学校はどこですか"",""学校は好きですか""]"	"[""How do you go to school?"",""What time do you go to school?"",""Who do you go to school with?"",""Where is your school?"",""Do you like school?""]"	"[""How do you go to school?"",""How do you get to school?"",""When do you go to school?"",""Where do you go after school?"",""Why do you go to school?""]"	[]	[]
100027	1	How is the weather today?	今日の天気はどうですか	used to ask about today's weather	How is the weather today?	今日の天気はどうですか。	phrase	1	4	"[""今日の天気はどうですか"",""今日は何曜日ですか"",""今日は暑いです"",""明日は晴れです"",""昨日は雨でした""]"	"[""How is the weather today?"",""What day is it today?"",""It is hot today."",""It will be sunny tomorrow."",""It was rainy yesterday.""]"	"[""How is the weather today?"",""How was the weather yesterday?"",""How is the weather there?"",""What day is it today?"",""Is it sunny today?""]"	"[{""word"":""What's the weather like today?"",""note"":""今日の天気をたずねる自然な表現。""}]"	[]
100028	1	How about you?	あなたはどうですか	used to ask the same question back	I like tennis. How about you?	私はテニスが好きです。あなたはどうですか。	phrase	1	5	"[""あなたはどうですか"",""本当ですか"",""もう一度言ってください"",""手伝ってくれますか"",""気をつけて""]"	"[""How about you?"",""Really?"",""Please say it again."",""Can you help me?"",""Be careful.""]"	"[""How about you?"",""How are you?"",""What about you?"",""How old are you?"",""Who are you?""]"	"[{""word"":""What about you?"",""note"":""相手にも同じことをたずね返す表現。""}]"	[]
100029	1	Can you help me?	手伝ってくれますか	used to ask someone for help	Can you help me with my homework?	宿題を手伝ってくれますか。	phrase	1	5	"[""手伝ってくれますか"",""座ってもいいですか"",""見てもいいですか"",""来てくれますか"",""待ってくれますか""]"	"[""Can you help me?"",""Can you wait for me?"",""Can you come here?"",""Can you show me?"",""Can you call me?""]"	"[""Can you help me?"",""Can you tell me?"",""Can you join me?"",""Can you hear me?"",""Can you save me?""]"	"[{""word"":""Please help me."",""note"":""より直接的な頼み方。""}]"	[]
100030	1	Are you all right?	大丈夫ですか	used to ask if someone is okay	Are you all right?	大丈夫ですか。	phrase	1	5	"[""大丈夫ですか"",""元気ですか"",""準備はいいですか"",""どこにいますか"",""何をしていますか""]"	"[""Are you all right?"",""Are you happy?"",""Are you ready?"",""Where are you?"",""What are you doing?""]"	"[""Are you all right?"",""Are you awake?"",""Are you okay?"",""Are you alone?"",""Are you ready?""]"	"[{""word"":""Are you okay?"",""note"":""日常会話でよく使う言い方。""}]"	[]
100031	1	what	何	used to ask about a thing or information	What is this?	これは何ですか。	pronoun	1	5	"[""何"",""だれ"",""どこ"",""いつ"",""なぜ""]"	"[""what"",""who"",""where"",""when"",""why""]"	"[""what"",""when"",""which"",""want"",""white""]"	[]	[]
100032	1	how	どのように	used to ask about a way or condition	How do you go to school?	どうやって学校に行きますか。	adverb	1	5	"[""どのように"",""いつ"",""どこで"",""なぜ"",""だれが""]"	"[""how"",""when"",""where"",""why"",""who""]"	"[""how"",""house"",""now"",""cow"",""hour""]"	[]	[]
100033	1	whose	だれの	used to ask who owns something	Whose bag is this?	これはだれのかばんですか。	pronoun	2	4	"[""だれの"",""どれ"",""だれ"",""なに"",""どちらの""]"	"[""whose"",""which"",""who"",""what"",""where""]"	"[""whose"",""who"",""which"",""when"",""where""]"	[]	[]
100034	1	who	だれ	used to ask about a person	Who is that boy?	あの男の子はだれですか。	pronoun	1	5	"[""だれ"",""どこ"",""いつ"",""なに"",""どちら""]"	"[""who"",""where"",""when"",""what"",""which""]"	"[""who"",""whose"",""how"",""what"",""when""]"	[]	[]
100035	1	where	どこ	used to ask about a place	Where is my book?	私の本はどこですか。	adverb	1	5	"[""どこ"",""いつ"",""だれ"",""なに"",""なぜ""]"	"[""where"",""when"",""who"",""what"",""why""]"	"[""where"",""when"",""why"",""who"",""what""]"	[]	[]
100036	1	when	いつ	used to ask about time	When is your birthday?	あなたの誕生日はいつですか。	adverb	1	5	"[""いつ"",""どこで"",""だれが"",""なぜ"",""どのように""]"	"[""when"",""where"",""who"",""why"",""how""]"	"[""when"",""where"",""went"",""win"",""what""]"	[]	[]
100037	1	which	どれ、どの	used to choose one from a group	Which bag is yours?	どのかばんがあなたのものですか。	pronoun	2	4	"[""どれ、どの"",""だれ"",""いつ"",""どこ"",""なに""]"	"[""which"",""who"",""when"",""where"",""what""]"	"[""which"",""wish"",""watch"",""when"",""white""]"	[]	[]
100038	1	why	なぜ	used to ask for a reason	Why are you sad?	なぜ悲しいのですか。	adverb	1	5	"[""なぜ"",""いつ"",""どこで"",""だれが"",""どのように""]"	"[""why"",""when"",""where"",""who"",""how""]"	"[""why"",""wide"",""wine"",""white"",""while""]"	[]	[]
100039	1	always	いつも	at all times	He is always kind to me.	彼はいつも私に親切です。	adverb	1	5	"[""いつも"",""たいてい"",""ときどき"",""めったに〜ない"",""決して〜ない""]"	"[""always"",""usually"",""sometimes"",""rarely"",""never""]"	"[""always"",""already"",""also"",""all day"",""away""]"	[]	"[{""word"":""never"",""note"":""「決して〜ない」を表す語。""}]"
100040	1	there	そこ、あそこ	in or to that place	My bag is over there.	私のかばんはあそこにあります。	adverb	1	5	"[""そこ、あそこ"",""ここ"",""どこ"",""近く"",""外に""]"	"[""there"",""here"",""where"",""near"",""outside""]"	"[""there"",""three"",""where"",""here"",""near""]"	[]	"[{""word"":""here"",""note"":""「ここに、ここで」を表す語。""}]"
100041	1	here	ここに、ここで	in this place	Come here, please.	ここに来てください。	adverb	1	5	"[""ここに、ここで"",""そこに、そこで"",""あそこに、あそこで"",""どこに、どこで"",""外に""]"	"[""here"",""there"",""home"",""inside"",""outside""]"	"[""here"",""hair"",""near"",""dear"",""year""]"	[]	"[{""word"":""there"",""note"":""「そこに、そこで」を表す語。""}]"
100042	1	car	車	a road vehicle with four wheels	My father has a red car.	私の父は赤い車を持っています。	noun	1	5	"[""車"",""自転車"",""バス"",""電車"",""トラック""]"	"[""car"",""bike"",""bus"",""train"",""truck""]"	"[""car"",""card"",""cart"",""cap"",""can""]"	[]	[]
100043	1	bread	パン	food baked from flour	I eat bread every morning.	私は毎朝パンを食べます。	noun	1	5	"[""パン"",""ごはん"",""肉"",""魚"",""卵""]"	"[""bread"",""rice"",""meat"",""fish"",""egg""]"	"[""bread"",""break"",""bright"",""brand"",""bride""]"	[]	[]
100044	1	pie	パイ	baked food with a filling inside	This apple pie is very good.	このアップルパイはとてもおいしいです。	noun	2	3	"[""パイ"",""ケーキ"",""パン"",""クッキー"",""プリン""]"	"[""pie"",""cake"",""bread"",""cookie"",""pudding""]"	"[""pie"",""pine"",""pipe"",""buy"",""tie""]"	[]	[]
100045	1	the	その	used before a specific person or thing	The cat is under the table.	その猫はテーブルの下にいます。	article	1	5	"[""その"",""この"",""あの"",""ひとつの"",""いくつかの""]"	"[""the"",""this"",""that"",""a"",""some""]"	"[""the"",""they"",""then"",""there"",""this""]"	[]	[]
100046	1	baseball	野球	a sport played with a bat and ball	I like baseball very much.	私は野球がとても好きです。	noun	1	4	"[""野球"",""サッカー"",""テニス"",""バスケットボール"",""バレーボール""]"	"[""baseball"",""soccer"",""tennis"",""basketball"",""volleyball""]"	"[""baseball"",""basketball"",""volleyball"",""handball"",""softball""]"	[]	[]
100047	1	stand	立つ	to be on your feet	Please stand by the door.	ドアのそばに立ってください。	verb	1	4	"[""立つ"",""座る"",""歩く"",""走る"",""待つ""]"	"[""stand"",""sit"",""walk"",""run"",""wait""]"	"[""stand"",""stamp"",""stare"",""start"",""stay""]"	[]	"[{""word"":""sit"",""note"":""「座る」。stand の自然な反対動作。""}]"
100048	1	coffee	コーヒー	a dark drink made from coffee beans	My mother drinks coffee every morning.	母は毎朝コーヒーを飲みます。	noun	1	5	"[""コーヒー"",""お茶"",""牛乳"",""水"",""ジュース""]"	"[""coffee"",""tea"",""milk"",""water"",""juice""]"	"[""coffee"",""copy"",""cookie"",""cola"",""candy""]"	[]	[]
100049	1	flower	花	the colorful part of a plant	This flower is very pretty.	この花はとてもきれいです。	noun	1	5	"[""花"",""葉"",""木"",""草"",""種""]"	"[""flower"",""leaf"",""tree"",""grass"",""seed""]"	"[""flower"",""floor"",""shower"",""fly"",""color""]"	[]	[]
100050	1	start	始める	to begin doing something	I start my homework at seven.	私は7時に宿題を始めます。	verb	1	4	"[""始める"",""終える"",""続ける"",""止める"",""変える""]"	"[""start"",""finish"",""continue"",""stop"",""change""]"	"[""start"",""smart"",""star"",""stand"",""store""]"	"[{""word"":""begin"",""note"":""「始める」を表す語。""}]"	"[{""word"":""finish"",""note"":""「終える」を表す語。""}]"
100051	1	of	〜の	used to show relation or belonging	This is a map of Japan.	これは日本の地図です。	preposition	1	5	"[""〜の"",""〜で"",""〜から"",""〜へ"",""〜と""]"	"[""of"",""in"",""from"",""to"",""with""]"	"[""of"",""off"",""on"",""up"",""for""]"	[]	[]
100052	1	my	私の	belonging to me	This is my bag.	これは私のかばんです。	adjective	1	5	"[""私の"",""あなたの"",""彼の"",""彼女の"",""私たちの""]"	"[""my"",""your"",""his"",""her"",""our""]"	"[""my"",""may"",""mine"",""me"",""man""]"	[]	[]
100053	1	your	あなたの	belonging to you	Is this your pencil case?	これはあなたの筆箱ですか。	adjective	1	5	"[""あなたの"",""私の"",""彼の"",""彼女の"",""私たちの""]"	"[""your"",""my"",""his"",""her"",""our""]"	"[""your"",""yours"",""year"",""yellow"",""young""]"	[]	[]
100054	1	under	〜の下に	in a lower place than something	The cat is under the table.	その猫はテーブルの下にいます。	preposition	1	5	"[""〜の下に"",""〜の上に"",""〜の中に"",""〜の後ろに"",""〜の前に""]"	"[""under"",""on"",""in"",""behind"",""in front of""]"	"[""under"",""over"",""around"",""inside"",""behind""]"	"[{""word"":""below"",""note"":""「〜より下に」を表す語。""}]"	"[{""word"":""over"",""note"":""「〜の上に」を表す語。""}]"
100055	1	bear	くま	a large wild animal with thick fur	I saw a bear at the zoo.	私は動物園でくまを見ました。	noun	1	3	"[""くま"",""ライオン"",""オオカミ"",""きつね"",""しか""]"	"[""bear"",""lion"",""wolf"",""fox"",""deer""]"	"[""bear"",""pear"",""bird"",""bell"",""boat""]"	[]	[]
100056	1	Australia	オーストラリア	a country south of Asia	My uncle lives in Australia.	私のおじはオーストラリアに住んでいます。	noun	2	3	"[""オーストラリア"",""カナダ"",""中国"",""インド"",""ブラジル""]"	"[""Australia"",""Canada"",""China"",""India"",""Brazil""]"	"[""Australia"",""America"",""Canada"",""China"",""India""]"	[]	[]
100057	1	elephant	ぞう	a very large animal with a long trunk	The elephant has a long trunk.	そのぞうは長い鼻を持っています。	noun	1	3	"[""ぞう"",""きりん"",""さる"",""らいおん"",""くま""]"	"[""elephant"",""giraffe"",""monkey"",""lion"",""bear""]"	"[""elephant"",""eleven"",""animal"",""yellow"",""telephone""]"	[]	[]
100058	1	sea	海	a large area of salt water	The sea looks very blue today.	今日は海がとても青く見えます。	noun	1	4	"[""海"",""川"",""湖"",""池"",""浜辺""]"	"[""sea"",""river"",""lake"",""pond"",""beach""]"	"[""sea"",""seed"",""seat"",""seal"",""sky""]"	"[{""word"":""ocean"",""note"":""seaより広く大きな海を表すことが多い。""}]"	[]
100059	1	city	都市	a large town	This city has many parks.	この都市にはたくさんの公園があります。	noun	1	4	"[""都市"",""町"",""村"",""首都"",""地域""]"	"[""city"",""town"",""village"",""capital"",""area""]"	"[""city"",""sit"",""sixty"",""pretty"",""busy""]"	"[{""word"":""town"",""note"":""cityより小さい町を表すことが多い。""}]"	[]
100060	1	tooth	歯	a hard white part in your mouth	My tooth hurts.	歯が痛いです。	noun	1	4	"[""歯"",""舌"",""唇"",""あご"",""歯ぐき""]"	"[""tooth"",""tongue"",""lip"",""jaw"",""gum""]"	"[""tooth"",""tool"",""two"",""teeth"",""touch""]"	[]	[]
100061	1	cola	コーラ	a sweet soft drink	I want a cold cola.	私は冷たいコーラがほしいです。	noun	1	4	"[""コーラ"",""お茶"",""水"",""牛乳"",""ジュース""]"	"[""cola"",""tea"",""water"",""milk"",""juice""]"	"[""cola"",""color"",""corner"",""cocoa"",""comma""]"	[]	[]
100062	1	sky	空	the space above the earth	The sky is blue today.	今日は空が青いです。	noun	1	5	"[""空"",""雲"",""星"",""太陽"",""月""]"	"[""sky"",""cloud"",""star"",""sun"",""moon""]"	"[""sky"",""skirt"",""kite"",""star"",""spy""]"	[]	[]
100063	1	foot	足	the part at the end of your leg	My left foot is wet.	私の左足はぬれています。	noun	1	4	"[""足"",""手"",""腕"",""脚"",""指""]"	"[""foot"",""hand"",""arm"",""leg"",""toe""]"	"[""foot"",""food"",""full"",""put"",""fit""]"	[]	[]
100064	1	mouth	口	the part of your face used for eating	Please open your mouth.	口を開けてください。	noun	1	5	"[""口"",""鼻"",""目"",""耳"",""顔""]"	"[""mouth"",""nose"",""eye"",""ear"",""face""]"	"[""mouth"",""mouse"",""math"",""month"",""south""]"	[]	[]
100065	1	ear	耳	the part of your head used for hearing	My ear hurts a little.	耳が少し痛いです。	noun	1	5	"[""耳"",""目"",""鼻"",""口"",""首""]"	"[""ear"",""eye"",""nose"",""mouth"",""neck""]"	"[""ear"",""air"",""year"",""near"",""hear""]"	[]	[]
100066	1	hand	手	the part at the end of your arm	Wash your hands before lunch.	昼食の前に手を洗ってください。	noun	1	5	"[""手"",""腕"",""指"",""足"",""顔""]"	"[""hand"",""arm"",""finger"",""foot"",""face""]"	"[""hand"",""sand"",""band"",""land"",""hat""]"	[]	[]
100067	1	eye	目	the part of your face used for seeing	She has big eyes.	彼女は大きな目をしています。	noun	1	5	"[""目"",""耳"",""鼻"",""口"",""顔""]"	"[""eye"",""ear"",""nose"",""mouth"",""face""]"	"[""eye"",""ice"",""ear"",""arm"",""egg""]"	[]	[]
100068	1	nose	鼻	the part of your face used for smelling	My nose is very cold.	私の鼻はとても冷たいです。	noun	1	5	"[""鼻"",""口"",""耳"",""目"",""顔""]"	"[""nose"",""mouth"",""ear"",""eye"",""face""]"	"[""nose"",""note"",""rose"",""net"",""name""]"	[]	[]
100069	1	radio	ラジオ	a machine for listening to music or news	My grandfather listens to the radio.	祖父はラジオを聞きます。	noun	1	4	"[""ラジオ"",""テレビ"",""電話"",""時計"",""カメラ""]"	"[""radio"",""television"",""telephone"",""clock"",""camera""]"	"[""radio"",""video"",""rainy"",""ready"",""red""]"	[]	[]
100070	1	television	テレビ	a machine for watching programs	We watch television after dinner.	私たちは夕食の後にテレビを見ます。	noun	1	5	"[""テレビ"",""ラジオ"",""電話"",""時計"",""カメラ""]"	"[""television"",""radio"",""telephone"",""clock"",""camera""]"	"[""television"",""telephone"",""video"",""radio"",""station""]"	"[{""word"":""TV"",""note"":""televisionの短い言い方。""}]"	[]
100071	1	sandwich	サンドイッチ	food with something between two pieces of bread	I made a sandwich for lunch.	私は昼食にサンドイッチを作りました。	noun	1	4	"[""サンドイッチ"",""ハンバーガー"",""スープ"",""サラダ"",""おにぎり""]"	"[""sandwich"",""hamburger"",""soup"",""salad"",""rice ball""]"	"[""sandwich"",""sausage"",""Spanish"",""Sunday"",""station""]"	[]	[]
100072	1	uncle	おじ	your parent's brother or your aunt's husband	My uncle lives near my house.	私のおじは私の家の近くに住んでいます。	noun	1	4	"[""おじ"",""おば"",""いとこ"",""おい"",""めい""]"	"[""uncle"",""aunt"",""cousin"",""nephew"",""niece""]"	"[""uncle"",""ankle"",""apple"",""under"",""jungle""]"	[]	[]
100073	1	house	家	a building where people live	Their house has a small garden.	彼らの家には小さな庭があります。	noun	1	5	"[""家"",""学校"",""店"",""駅"",""公園""]"	"[""house"",""school"",""store"",""station"",""park""]"	"[""house"",""mouse"",""horse"",""home"",""hut""]"	"[{""word"":""home"",""note"":""人が暮らす場所や家庭を表す語。""}]"	[]
100074	1	See you	またね	used to say goodbye until next time	See you after school.	放課後に会いましょう。	phrase	1	5	"[""またね"",""さようなら"",""おはよう"",""ありがとう"",""おやすみ""]"	"[""See you"",""Goodbye"",""Good morning"",""Thank you"",""Good night""]"	"[""See you"",""Thank you"",""Good night"",""Hello"",""Goodbye""]"	"[{""word"":""Goodbye"",""note"":""別れのあいさつ。""},{""word"":""Bye"",""note"":""短くてくだけた別れのあいさつ。""}]"	[]
100075	1	bring	持ってくる	to carry something to this place	Please bring your notebook tomorrow.	明日、ノートを持ってきてください。	verb	1	4	"[""持ってくる"",""持っていく"",""置く"",""見せる"",""送る""]"	"[""bring"",""take"",""put"",""show"",""send""]"	"[""bring"",""blink"",""brick"",""breeze"",""brown""]"	"[{""word"":""carry"",""note"":""物を運ぶことを表す語。""}]"	"[{""word"":""take"",""note"":""物を別の場所へ持っていくことを表す語。""}]"
100076	1	T-shirt	Tシャツ	a short-sleeved casual shirt	I am wearing a blue T-shirt.	私は青いTシャツを着ています。	noun	1	4	"[""Tシャツ"",""シャツ"",""ズボン"",""くつ"",""ぼうし""]"	"[""T-shirt"",""shirt"",""pants"",""shoes"",""hat""]"	"[""T-shirt"",""teacher"",""ticket"",""teacup"",""team""]"	[]	[]
100077	1	test	テスト	questions that check what you know	We have a math test today.	今日は数学のテストがあります。	noun	1	5	"[""テスト"",""試験"",""宿題"",""授業"",""問題集""]"	"[""test"",""quiz"",""exam"",""homework"",""class""]"	"[""test"",""text"",""taste"",""tent"",""desk""]"	"[{""word"":""exam"",""note"":""大きな試験を表すことが多い。""},{""word"":""quiz"",""note"":""短い確認テストを表すことが多い。""}]"	[]
100078	1	cousin	いとこ	your aunt's or uncle's child	My cousin lives in Tokyo.	私のいとこは東京に住んでいます。	noun	1	4	"[""いとこ"",""おじ"",""おば"",""めい"",""おい""]"	"[""cousin"",""uncle"",""aunt"",""niece"",""nephew""]"	"[""cousin"",""dozen"",""cotton"",""cushion"",""kitchen""]"	[]	[]
100079	1	church	教会	a building where people go to pray	There is a church near my house.	私の家の近くに教会があります。	noun	2	2	"[""教会"",""学校"",""病院"",""駅"",""図書館""]"	"[""church"",""school"",""hospital"",""station"",""library""]"	"[""church"",""search"",""charge"",""chair"",""cheese""]"	[]	[]
100080	1	ring	指輪	jewelry worn on a finger	This ring is very pretty.	この指輪はとてもきれいです。	noun	1	4	"[""指輪"",""ネックレス"",""ブレスレット"",""イヤリング"",""腕時計""]"	"[""ring"",""necklace"",""bracelet"",""earring"",""watch""]"	"[""ring"",""sing"",""king"",""wing"",""bring""]"	[]	[]
