lookup_key	english	normalized_english	japanese	quiz_mode	source_word_id	note
be careful with ~_COMMON_0	be careful with ~	be careful with ~	～に気をつける			
be careful._COMMON_0	Be careful.	be careful.	気をつけて			
be close to ~_COMMON_0	be close to ~	be close to ~	～に近い			
be connected to ~_COMMON_0	be connected to ~	be connected to ~	〜につながっている			
be doing_COMMON_0	be doing	be doing	今～している			
be easy_COMMON_0	be easy	be easy	やさしい			
be far from ~_COMMON_0	be far from ~	be far from ~	〜から離れている			
be going to do_COMMON_0	be going to do	be going to do	～するつもりだ			
be hard_COMMON_0	be hard	be hard	むずかしい			
be hungry_COMMON_0	be hungry	be hungry	おなかがすいている			
be in a good mood_COMMON_0	be in a good mood	be in a good mood	機嫌がよい			
be in a hurry_COMMON_0	be in a hurry	be in a hurry	急いでいる			
be in front of ~_COMMON_0	be in front of ~	be in front of ~	～の前にある			
be on time for_COMMON_0	be on time for	be on time for	〜に間に合う			
be on time for ~_COMMON_0	be on time for ~	be on time for ~	～に間に合う			
be ready_COMMON_0	be ready	be ready	準備ができている			
be satisfied with ~_COMMON_0	be satisfied with ~	be satisfied with ~	～に満足している			
be similar to ~_COMMON_0	be similar to ~	be similar to ~	～に似ている			
be sure that ~_COMMON_0	be sure that ~	be sure that ~	～ということを確信している			
be surrounded by ~_COMMON_0	be surrounded by ~	be surrounded by ~	〜で囲まれている			
be the same as ~_COMMON_0	be the same as ~	be the same as ~	～と同じである			
be tired_COMMON_0	be tired	be tired	疲れている			
be worried that ~_COMMON_0	be worried that ~	be worried that ~	～ということを心配している			
beard_COMMON_0	beard	beard	ひげ			
because ~_COMMON_0	because ~	because ~	～なので			
bee_COMMON_0	bee	bee	はち			
before_COMMON_0	before	before	〜の前に			
before breakfast_COMMON_0	before breakfast	before breakfast	朝食前に			
before school_COMMON_0	before school	before school	登校前に			
begin ~_COMMON_0	begin ~	begin ~	～を始める			
behind ~_COMMON_0	behind ~	behind ~	〜の後ろに			
behind the station_COMMON_0	behind the station	behind the station	駅の後ろに			
behind you_COMMON_0	behind you	behind you	あなたの後ろに			
beijing_COMMON_0	Beijing	beijing	北京			
believe ~_COMMON_0	believe ~	believe ~	～を信じる			
believe a_COMMON_0	believe A	believe a	Aを信じる			
below ~_COMMON_0	below ~	below ~	～の下に			
between ~_COMMON_0	between ~	between ~	〜の間に			
birdhouse_COMMON_0	birdhouse	birdhouse	鳥小屋			
body_COMMON_0	body	body	体			
bookshelf_COMMON_0	bookshelf	bookshelf	本だな			
boots_COMMON_0	boots	boots	長靴			
borrow ~_COMMON_0	borrow ~	borrow ~	～を借りる			
borrow a_COMMON_0	borrow A	borrow a	Aを借りる			
borrow b from a_COMMON_0	borrow B from A	borrow b from a	AからBを借りる			
borrow from ~_COMMON_0	borrow from ~	borrow from ~	～から借りる			
boss_COMMON_0	boss	boss	上司			
bow_COMMON_0	bow	bow	おじぎする			
bracelet_COMMON_0	bracelet	bracelet	ブレスレット			
break ~_COMMON_0	break ~	break ~	～を壊す			
bring back ~_COMMON_0	bring back ~	bring back ~	～を持ち帰る			
brothers_COMMON_0	brothers	brothers	兄弟			
business card_COMMON_0	business card	business card	名刺			
buy ~_COMMON_0	buy ~	buy ~	買う			
by bike_COMMON_0	by bike	by bike	自転車で			
cabin_COMMON_0	cabin	cabin	小屋			
call ~_COMMON_0	call ~	call ~	～を呼ぶ			
call ~ up_COMMON_0	call ~ up	call ~ up	〜を呼び出す			
can do_COMMON_0	can do	can do	～できる			
can i have the bill?_COMMON_0	Can I have the bill?	can i have the bill?	お会計をお願いします			
can i walk to the station?_COMMON_0	Can I walk to the station?	can i walk to the station?	駅まで歩けますか			
can we ~?_COMMON_0	Can we ~?	can we ~?	〜できますか			
can you ~?_COMMON_0	Can you ~?	can you ~?	～できますか			
can you call me?_COMMON_0	Can you call me?	can you call me?	待ってくれますか			
can you come here?_COMMON_0	Can you come here?	can you come here?	見てもいいですか			
can you come now?_COMMON_0	Can you come now?	can you come now?	今来られますか。			
can you eat?_COMMON_0	Can you eat?	can you eat?	食べられますか			
can you go now?_COMMON_0	Can you go now?	can you go now?	今行けますか。			
can you hear now?_COMMON_0	Can you hear now?	can you hear now?	今聞こえますか。			
can you see now?_COMMON_0	Can you see now?	can you see now?	今見えますか。			
can you see?_COMMON_0	Can you see?	can you see?	見えますか			
can you show me?_COMMON_0	Can you show me?	can you show me?	来てくれますか			
can you speak?_COMMON_0	Can you speak?	can you speak?	話せますか			
can you wait for me?_COMMON_0	Can you wait for me?	can you wait for me?	座ってもいいですか			
candle_COMMON_0	candle	candle	ろうそく			
carry ~_COMMON_0	carry ~	carry ~	～を運ぶ			
carry a_COMMON_0	carry A	carry a	Aを運ぶ			
change ~_COMMON_0	change ~	change ~	～を変える			
change a into b_COMMON_0	change A into B	change a into b	AをBに変える			
check ~_COMMON_0	check ~	check ~	～を調べる			
cheerful_COMMON_0	cheerful	cheerful	元気な			
chest_COMMON_0	chest	chest	胸			
choose ~_COMMON_0	choose ~	choose ~	～を選ぶ			
choose a_COMMON_0	choose A	choose a	Aを選ぶ			
choose a and b_COMMON_0	choose A and B	choose a and b	AとBを選ぶ			
clean ~ up_COMMON_0	clean ~ up	clean ~ up	〜を片づける			
clean up ~_COMMON_0	clean up ~	clean up ~	～を片づける			
clock shop_COMMON_0	clock shop	clock shop	時計店			
close ~_COMMON_0	close ~	close ~	～を閉める			
closed_COMMON_0	closed	closed	閉じている			
clothing_COMMON_0	clothing	clothing	衣類			
collect ~_COMMON_0	collect ~	collect ~	～を集める			
collect a_COMMON_0	collect A	collect a	Aを集める			
collect b from a_COMMON_0	collect B from A	collect b from a	AからBを集める			
color of ~_COMMON_0	color of ~	color of ~	～の色			
comb my hair_COMMON_0	comb my hair	comb my hair	髪をとかす			
come and see_COMMON_0	come and see	come and see	会いに行く			
come in._COMMON_0	Come in.	come in.	入ってください			
company_COMMON_0	company	company	会社			
compare ~_COMMON_0	compare ~	compare ~	～を比べる			
compare with ~_COMMON_0	compare with ~	compare with ~	～と比べる			
continue ~_COMMON_0	continue ~	continue ~	～を続ける			
cook dinner_COMMON_0	cook dinner	cook dinner	料理をする			
cooking_COMMON_0	cooking	cooking	料理			
count ~_COMMON_0	count ~	count ~	～を数える			
count a_COMMON_0	count A	count a	Aを数える			
crab_COMMON_0	crab	crab	カニ			
crocodile_COMMON_0	crocodile	crocodile	わに			
crosswalk_COMMON_0	crosswalk	crosswalk	横断歩道			
cut ~_COMMON_0	cut ~	cut ~	～を切る			
dancing_COMMON_0	dancing	dancing	ダンス			
decide to do_COMMON_0	decide to do	decide to do	～することを決める			
deer_COMMON_0	deer	deer	シカ			
dishes_COMMON_0	dishes	dishes	食器			
divide a by b_COMMON_0	divide A by B	divide a by b	AをBで割る			
do my homework_COMMON_0	do my homework	do my homework	宿題をする			
do not want ~_COMMON_0	do not want ~	do not want ~	～したくない			
do we want to ~?_COMMON_0	Do we want to ~?	do we want to ~?	〜したいですか			
do you know?_COMMON_0	Do you know?	do you know?	知っていますか			
do you like school?_COMMON_0	Do you like school?	do you like school?	学校は好きですか			
does_COMMON_0	does	does	〜する			
doubt ~_COMMON_0	doubt ~	doubt ~	～を疑う			
downtown_COMMON_0	downtown	downtown	町の中心へ			
dr._COMMON_0	Dr.	dr.	～先生			
dragonfly_COMMON_0	dragonfly	dragonfly	とんぼ			
draw a picture_COMMON_0	draw a picture	draw a picture	絵をかく			
drawing_COMMON_0	drawing	drawing	絵			
drink menu_COMMON_0	drink menu	drink menu	飲み物メニュー			
drive to ~_COMMON_0	drive to ~	drive to ~	～まで車で行く			
during_COMMON_0	during	during	～の間に			
each ~_COMMON_0	each ~	each ~	それぞれの			
eagle_COMMON_0	eagle	eagle	わし			
ears_COMMON_0	ears	ears	耳			
eat breakfast_COMMON_0	eat breakfast	eat breakfast	朝ごはんを食べる			
eight o'clock_COMMON_0	eight o'clock	eight o'clock	8時			
either ~_COMMON_0	either ~	either ~	どちらかの			
either a or b_COMMON_0	either A or B	either a or b	AかBのどちらか			
elbow_COMMON_0	elbow	elbow	ひじ			
emi_COMMON_0	Emi	emi	エミ			
england_COMMON_0	England	england	イギリス			
english class_COMMON_0	English class	english class	英語の授業			
english lesson_COMMON_0	English lesson	english lesson	英語の授業			
enjoy ~_COMMON_0	enjoy ~	enjoy ~	～を楽しむ			
enter_COMMON_0	enter	enter	入る			
enter ~_COMMON_0	enter ~	enter ~	～に入る			
erase ~_COMMON_0	erase ~	erase ~	消す			
escape from ~_COMMON_0	escape from ~	escape from ~	～から逃げる			
euro_COMMON_0	euro	euro	ユーロ			
every month_COMMON_0	every month	every month	毎月			
every morning_COMMON_0	every morning	every morning	毎朝			
every night_COMMON_0	every night	every night	毎晩			
every week_COMMON_0	every week	every week	毎週			
excuse me._COMMON_0	Excuse me.	excuse me.	すみません			
explain ~_COMMON_0	explain ~	explain ~	～を説明する			
explain a to b_COMMON_0	explain A to B	explain a to b	AをBに説明する			
explain b to a_COMMON_0	explain B to A	explain b to a	Aに説明する			
eyes_COMMON_0	eyes	eyes	目			
false_COMMON_0	false	false	うその			
fancy_COMMON_0	fancy	fancy	派手な			
far from_COMMON_0	far from	far from	～から遠くに			
faster_COMMON_0	faster	faster	より速く			
fastest_COMMON_0	fastest	fastest	最も速い			
feel fine_COMMON_0	feel fine	feel fine	元気です			
feel like ~_COMMON_0	feel like ~	feel like ~	～のように感じる			
feel sick_COMMON_0	feel sick	feel sick	気分が悪い			
feel worse_COMMON_0	feel worse	feel worse	気分が悪くなる			
few ~_COMMON_0	few ~	few ~	ほとんどない			
fifteen minutes_COMMON_0	fifteen minutes	fifteen minutes	15分間			
fight with ~_COMMON_0	fight with ~	fight with ~	～とけんかする			
find ~_COMMON_0	find ~	find ~	～を見つける			
finish ~_COMMON_0	finish ~	finish ~	～を終える			
fix ~_COMMON_0	fix ~	fix ~	直す			
fix a_COMMON_0	fix A	fix a	Aを直す			
flag_COMMON_0	flag	flag	旗			
flashy_COMMON_0	flashy	flashy	派手な			
florist_COMMON_0	florist	florist	花屋			
fly to ~_COMMON_0	fly to ~	fly to ~	～まで飛んで行く			
fog_COMMON_0	fog	fog	霧			
for ~_COMMON_0	for ~	for ~	～のために			
for now_COMMON_0	for now	for now	今のところ			
forget ~_COMMON_0	forget ~	forget ~	～を忘れる			
forget that ~_COMMON_0	forget that ~	forget that ~	～ということを忘れている			
forget to do_COMMON_0	forget to do	forget to do	〜するのを忘れる			
forgive_COMMON_0	forgive	forgive	許す			
forgive a_COMMON_0	forgive A	forgive a	Aを許す			
forty_COMMON_0	forty	forty	40			
four o'clock_COMMON_0	four o'clock	four o'clock	4時			
france_COMMON_0	France	france	フランス			
freezing_COMMON_0	freezing	freezing	寒い			
friends_COMMON_0	friends	friends	友だち			
frog_COMMON_0	frog	frog	かえる			
from ~_COMMON_0	from ~	from ~	〜から			
futon_COMMON_0	futon	futon	シーツ			
gallery_COMMON_0	gallery	gallery	美術館			
gather ~_COMMON_0	gather ~	gather ~	集まる			
get dressed_COMMON_0	get dressed	get dressed	服を着る			
get out of_COMMON_0	get out of	get out of	～から出る			
get sleepy_COMMON_0	get sleepy	get sleepy	眠くなる			
get tired_COMMON_0	get tired	get tired	疲れる			
get up early_COMMON_0	get up early	get up early	早く起きる			
give ~ up_COMMON_0	give ~ up	give ~ up	〜をあきらめる			
give a b_COMMON_0	give A B	give a b	AにBを渡す			
give up ~_COMMON_0	give up ~	give up ~	～をあきらめる			
gloves_COMMON_0	gloves	gloves	手袋			
go for a walk_COMMON_0	go for a walk	go for a walk	散歩に行く			
go past ~_COMMON_0	go past ~	go past ~	～のそばを通る			
go running_COMMON_0	go running	go running	走りに行く			
go swimming_COMMON_0	go swimming	go swimming	泳ぎに行く			
go to_COMMON_0	go to	go to	〜へ行く			
go walking_COMMON_0	go walking	go walking	散歩に行く			
goat_COMMON_0	goat	goat	やぎ			
good evening._COMMON_0	Good evening.	good evening.	こんばんは。			
good luck!_COMMON_0	Good luck!	good luck!	がんばってください			
good luck._COMMON_0	Good luck.	good luck.	がんばってね			
good morning._COMMON_0	Good morning.	good morning.	おはようございます			
good night._COMMON_0	Good night.	good night.	おやすみ			
goodbye._COMMON_0	Goodbye.	goodbye.	さようなら			
grandma_COMMON_0	grandma	grandma	おばあさん			
green tea_COMMON_0	green tea	green tea	緑茶			
greet ~_COMMON_0	greet ~	greet ~	～にあいさつする			
grow into ~_COMMON_0	grow into ~	grow into ~	～に成長する			
guide_COMMON_0	guide	guide	案内人			
gum_COMMON_0	gum	gum	歯ぐき			
half of ~_COMMON_0	half of ~	half of ~	半分			
hang up_COMMON_0	hang up	hang up	電話を切る			
have a fever_COMMON_0	have a fever	have a fever	頭が痛い			
have a good rest._COMMON_0	Have a good rest.	have a good rest.	ゆっくり休んでね			
have a headache_COMMON_0	have a headache	have a headache	熱がある			
have a nice day._COMMON_0	Have a nice day.	have a nice day.	よい一日を			
have breakfast_COMMON_0	have breakfast	have breakfast	朝食を食べる			
have lunch_COMMON_0	have lunch	have lunch	昼食を食べる			
have no time_COMMON_0	have no time	have no time	時間がない			
have to_COMMON_0	have to	have to	〜しなければならない			
he does too._COMMON_0	He does too.	he does too.	彼も			
heat_COMMON_0	heat	heat	熱			
he'll_COMMON_0	he'll	he'll	彼は〜でしょう			
hello._COMMON_0	Hello.	hello.	こんにちは			
help ~_COMMON_0	help ~	help ~	～を手伝う			
help a_COMMON_0	help A	help a	Aを助ける			
help a do_COMMON_0	help A do	help a do	Aが～するのを手伝う			
help a with b_COMMON_0	help A with B	help a with b	AがBを手伝う			
help me._COMMON_0	Help me.	help me.	手伝って。			
her_COMMON_0	her	her	彼女の			
here's_COMMON_0	here's	here's	〜がほしい			
hers_COMMON_0	hers	hers	彼女のもの			
herself_COMMON_0	herself	herself	彼女自身			
he's_COMMON_0	he's	he's	彼は〜です			
hide ~_COMMON_0	hide ~	hide ~	～を隠す			
higher_COMMON_0	higher	higher	より高く			
highest_COMMON_0	highest	highest	最も高い			
him_COMMON_0	him	him	彼を			
his_COMMON_0	his	his	彼の			
hit_COMMON_0	hit	hit	たたく			
hope that ~_COMMON_0	hope that ~	hope that ~	～ということを望んでいる			
horn_COMMON_0	horn	horn	角			
hot water_COMMON_0	hot water	hot water	湯			
how big is ~?_COMMON_0	How big is ~?	how big is ~?	～はどのくらい大きいですか			
how deep is ~?_COMMON_0	How deep is ~?	how deep is ~?	～はどのくらい深いですか			
how heavy is ~?_COMMON_0	How heavy is ~?	how heavy is ~?	～はどのくらい重いですか			
how high is ~?_COMMON_0	How high is ~?	how high is ~?	～はどのくらい高いですか			
how many_COMMON_0	how many	how many	いくつ			
how many minutes to the station?_COMMON_0	How many minutes to the station?	how many minutes to the station?	駅まで何分ですか			
how many people?_COMMON_0	How many people?	how many people?	何名様ですか			
how much_COMMON_0	how much	how much	いくら			
how much is it?_COMMON_0	How much is it?	how much is it?	いくらですか？			
how much is that one?_COMMON_0	How much is that one?	how much is that one?	あれはいくらですか			
how much is this?_COMMON_0	How much is this?	how much is this?	これはいくらですか			
how much will you pay?_COMMON_0	How much will you pay?	how much will you pay?	いくら払いますか？			
how old are you?_COMMON_0	How old are you?	how old are you?	何歳ですか			
how shall we go home?_COMMON_0	How shall we go home?	how shall we go home?	どうやって帰りましょうか			
hundred thousand_COMMON_0	hundred thousand	hundred thousand	10万			
hurry ~_COMMON_0	hurry ~	hurry ~	～を急がせる			
hurry up._COMMON_0	Hurry up.	hurry up.	急いでください			
hurry._COMMON_0	Hurry.	hurry.	急いでください			
i am free now._COMMON_0	I am free now.	i am free now.	今はひまです			
i am going to ~._COMMON_0	I am going to ~.	i am going to ~.	〜するつもりです			
i am hungry._COMMON_0	I am hungry.	i am hungry.	おなかがすいています			
i am sorry._COMMON_0	I am sorry.	i am sorry.	すみません。			
i came to see you._COMMON_0	I came to see you.	i came to see you.	あなたに会いに来ました			
i can ~._COMMON_0	I can ~.	i can ~.	〜できます			
i don't know._COMMON_0	I don't know.	i don't know.	わかりません			
i feel very well._COMMON_0	I feel very well.	i feel very well.	とても元気です			
i go to ~._COMMON_0	I go to ~.	i go to ~.	〜へ行く			
i have a new bag._COMMON_0	I have a new bag.	i have a new bag.	もう一度見せて			
i have to ~._COMMON_0	I have to ~.	i have to ~.	〜しなければならない			
i know ~._COMMON_0	I know ~.	i know ~.	〜を知っている			
i like ~._COMMON_0	I like ~.	i like ~.	～が好きです			
i love it._COMMON_0	I love it.	i love it.	それが大好きです			
i must ~._COMMON_0	I must ~.	i must ~.	～しなければならない			
i must not ~._COMMON_0	I must not ~.	i must not ~.	〜してはいけない			
i want ~._COMMON_0	I want ~.	i want ~.	〜がほしい			
i want to ~._COMMON_0	I want to ~.	i want to ~.	〜したいです			
i want to go to the station._COMMON_0	I want to go to the station.	i want to go to the station.	駅に行きたいです			
i was ~._COMMON_0	I was ~.	i was ~.	～していました			
i will ~._COMMON_0	I will ~.	i will ~.	〜するつもりです			
i will call later._COMMON_0	I will call later.	i will call later.	あとで電話します			
i will go soon._COMMON_0	I will go soon.	i will go soon.	すぐに行きます			
i'll_COMMON_0	I'll	i'll	私は〜するつもりです			
i'll call back later._COMMON_0	I'll call back later.	i'll call back later.	少々失礼します			
i'll help you._COMMON_0	I'll help you.	i'll help you.	手伝います			
i'll visit you._COMMON_0	I'll visit you.	i'll visit you.	会いに行きます			
i'll wait for you._COMMON_0	I'll wait for you.	i'll wait for you.	待ちます			
i'll write to you._COMMON_0	I'll write to you.	i'll write to you.	手紙を書きます			
i'm_COMMON_0	I'm	i'm	私は〜です			
i'm angry._COMMON_0	I'm angry.	i'm angry.	私は怒っています			
i'm busy._COMMON_0	I'm busy.	i'm busy.	急いでいます			
i'm coming here._COMMON_0	I'm coming here.	i'm coming here.	ここに来るところです			
i'm fine._COMMON_0	I'm fine.	i'm fine.	私は元気です			
i'm glad to see you again._COMMON_0	I'm glad to see you again.	i'm glad to see you again.	また会えてうれしいです			
i'm going out._COMMON_0	I'm going out.	i'm going out.	外出するところです			
i'm going to bed._COMMON_0	I'm going to bed.	i'm going to bed.	寝るところです			
i'm going to school._COMMON_0	I'm going to school.	i'm going to school.	学校へ行くところです			
i'm happy to help you._COMMON_0	I'm happy to help you.	i'm happy to help you.	お手伝いできてうれしいです			
i'm happy to talk with you._COMMON_0	I'm happy to talk with you.	i'm happy to talk with you.	お話しできてうれしいです			
i'm happy._COMMON_0	I'm happy.	i'm happy.	私はうれしいです			
i'm hungry._COMMON_0	I'm hungry.	i'm hungry.	おなかがすいています			
i'm sleepy._COMMON_0	I'm sleepy.	i'm sleepy.	私は眠いです			
i'm tired._COMMON_0	I'm tired.	i'm tired.	疲れています			
i'm worried._COMMON_0	I'm worried.	i'm worried.	心配しています			
in ~_COMMON_0	in ~	in ~	〜の中に			
in front of_COMMON_0	in front of	in front of	〜の前に			
in front of the school_COMMON_0	in front of the school	in front of the school	学校の前に			
in japan_COMMON_0	in Japan	in japan	国内で			
in the afternoon_COMMON_0	in the afternoon	in the afternoon	午後に			
in the evening_COMMON_0	in the evening	in the evening	夕方に			
in the house_COMMON_0	in the house	in the house	家の中で			
in the middle of ~_COMMON_0	in the middle of ~	in the middle of ~	〜の途中で			
in the store_COMMON_0	in the store	in the store	店で			
index finger_COMMON_0	index finger	index finger	人さし指			
injection_COMMON_0	injection	injection	注射			
inside_COMMON_0	inside	inside	中で			
inside ~_COMMON_0	inside ~	inside ~	〜の中に			
introduce ~_COMMON_0	introduce ~	introduce ~	～を紹介する			
invite_COMMON_0	invite	invite	招待する			
invite ~_COMMON_0	invite ~	invite ~	～を招待する			
invite a_COMMON_0	invite A	invite a	Aを招待する			
is it cold outside?_COMMON_0	Is it cold outside?	is it cold outside?	外は寒いですか。			
is it dark outside?_COMMON_0	Is it dark outside?	is it dark outside?	外は暗いですか。			
is it quiet outside?_COMMON_0	Is it quiet outside?	is it quiet outside?	外は静かですか。			
is it sunny outside?_COMMON_0	Is it sunny outside?	is it sunny outside?	外は晴れですか。			
is that true?_COMMON_0	Is that true?	is that true?	本当ですか			
is the station near here?_COMMON_0	Is the station near here?	is the station near here?	駅は近いですか			
is this seat free?_COMMON_0	Is this seat free?	is this seat free?	席は空いていますか			
is this station new?_COMMON_0	Is this station new?	is this station new?	この駅は新しいですか			
it is hot today._COMMON_0	It is hot today.	it is hot today.	今日は暑いです			
it is interesting._COMMON_0	It is interesting.	it is interesting.	それはおもしろいです			
it looks difficult._COMMON_0	It looks difficult.	it looks difficult.	難しそうです			
it looks expensive._COMMON_0	It looks expensive.	it looks expensive.	高そうです			
it looks interesting._COMMON_0	It looks interesting.	it looks interesting.	おもしろそうです			
it looks new._COMMON_0	It looks new.	it looks new.	新しそうです			
it was rainy yesterday._COMMON_0	It was rainy yesterday.	it was rainy yesterday.	昨日は雨でした			
it will be sunny tomorrow._COMMON_0	It will be sunny tomorrow.	it will be sunny tomorrow.	明日は晴れです			
italian_COMMON_0	Italian	italian	イタリア語			
it's ok._COMMON_0	It's OK.	it's ok.	大丈夫です			
jaw_COMMON_0	jaw	jaw	あご			
join ~_COMMON_0	join ~	join ~	～に参加する			
keep doing_COMMON_0	keep doing	keep doing	〜し続ける			
ken_COMMON_0	Ken	ken	ケン			
keyboard_COMMON_0	keyboard	keyboard	鍵盤			
kilo_COMMON_0	kilo	kilo	キロ			
kindergarten_COMMON_0	kindergarten	kindergarten	幼稚園			
kitten_COMMON_0	kitten	kitten	子猫			
knight_COMMON_0	knight	knight	騎士			
knock_COMMON_0	knock	knock	たたく			
know ~_COMMON_0	know ~	know ~	～を知っている			
know about ~_COMMON_0	know about ~	know about ~	〜を知っている			
kobe_COMMON_0	Kobe	kobe	神戸			
korea_COMMON_0	Korea	korea	韓国			
last month_COMMON_0	last month	last month	先月			
leave ~_COMMON_0	leave ~	leave ~	～を出発する			
leave there_COMMON_0	leave there	leave there	そこを出る			
lemon_COMMON_0	lemon	lemon	レモン			
lend a b_COMMON_0	lend A B	lend a b	AにBを貸す			
let's play after school._COMMON_0	Let's play after school.	let's play after school.	今日はとても暑い			
lid_COMMON_0	lid	lid	ふた			
lift ~_COMMON_0	lift ~	lift ~	～を持ち上げる			
like ~_COMMON_0	like ~	like ~	～が好きである			
lily_COMMON_0	lily	lily	ユリ			
line ~ up_COMMON_0	line ~ up	line ~ up	並べる			
lip_COMMON_0	lip	lip	唇			
listen to music_COMMON_0	listen to music	listen to music	音楽を聞く			
liter_COMMON_0	liter	liter	リットル			
little finger_COMMON_0	little finger	little finger	小指			
live in_COMMON_0	live in	live in	〜に住んでいる			
live there_COMMON_0	live there	live there	そこに住む			
lively_COMMON_0	lively	lively	にぎやかな			
lizard_COMMON_0	lizard	lizard	とかげ			
long ago_COMMON_0	long ago	long ago	昔			
longer_COMMON_0	longer	longer	より長い			
longest_COMMON_0	longest	longest	最も長い			
look._COMMON_0	Look.	look.	見て			
