no	grade	word	meaning	definition	example	exampleMeaning	partOfSpeech	difficulty	frequency	choicesEnJa	choicesJaEn	choicesListening	synonyms	antonyms
300023	3	sit down	座る	to move into a sitting position	Please sit down here.	ここに座ってください。	phrasal verb	1	4	"[""座る"",""立ち上がる"",""歩く"",""走る"",""止まる""]"	"[""sit down"",""stand up"",""walk"",""run"",""stop""]"	"[""sit down"",""sit"",""set"",""sat"",""slow""]"	[]	"[{""word"":""stand up"",""note"":""反対の動作""}]"
300024	3	Pardon?	もう一度お願いします	used to ask someone to repeat something	Pardon? I can't hear you well.	もう一度お願いします。よく聞こえません。	expression	2	3	"[""もう一度お願いします"",""もちろん"",""気をつけて"",""急いで"",""お元気ですか""]"	"[""Pardon?"",""Of course."",""Be careful."",""Hurry up."",""How are you?""]"	"[""Pardon?"",""garden"",""partner"",""harder"",""card""]"	"[{""word"":""Excuse me?"",""note"":""聞き返すときに使う""}]"	[]
300025	3	of course	もちろん	certainly; without doubt	Of course I can help you.	もちろん、私はあなたを手伝えます。	expression	2	4	"[""もちろん"",""たぶん"",""決して〜ない"",""すぐに"",""とても""]"	"[""of course"",""maybe"",""never"",""soon"",""very""]"	"[""of course"",""of school"",""of corn"",""all right"",""of town""]"	"[{""word"":""certainly"",""note"":""より少しかたい""}]"	[]
300026	3	May I ~?	〜してもいいですか	used to ask for permission	May I use your pen?	あなたのペンを使ってもいいですか。	expression	2	3	"[""〜してもいいですか"",""〜しなければなりません"",""〜するつもりです"",""〜できます"",""〜しましょうか""]"	"[""May I ~?"",""I must ~."",""I will ~."",""I can ~."",""Shall I ~?""]"	"[""May I ~?"",""May we ~?"",""Can I ~?"",""Must I ~?"",""Will I ~?""]"	"[{""word"":""Can I ~?"",""note"":""よりくだけた許可の求め方""}]"	[]
300027	3	look at ~	～を見る	to turn your eyes to something	Please look at the picture.	その絵を見てください。	verb phrase	2	4	"[""～を見る"",""～を読む"",""～を聞く"",""～を作る"",""～を開ける""]"	"[""look at ~"",""read ~"",""listen to ~"",""make ~"",""open ~""]"	"[""look at ~"",""look for ~"",""look after ~"",""look like ~"",""look up ~""]"	[]	[]
300028	3	listen to ~	～を聞く、～に耳を傾ける	to pay attention to a sound or speaker	Please listen to the teacher.	先生の話を聞いてください。	verb phrase	2	4	"[""～を聞く、～に耳を傾ける"",""～を見る"",""～を書く"",""～を読む"",""～について話す""]"	"[""listen to ~"",""look at ~"",""write ~"",""read ~"",""talk about ~""]"	"[""listen to ~"",""look into ~"",""lesson two"",""listen again"",""little tune""]"	[]	[]
300029	3	Let's ~.	～しよう、～しましょう	used to make a suggestion to do something together	Let's play soccer after school.	放課後にサッカーをしましょう。	expression	2	5	"[""～しよう、～しましょう"",""～できる"",""～しなければならない"",""～したい"",""～する予定だ""]"	"[""Let's ~."",""We can ~."",""We must ~."",""We want to ~."",""We will ~.""]"	"[""Let's ~."",""Let me ~."",""We can ~."",""We must ~."",""Please ~.""]"	[]	[]
300030	3	Just a moment.	少々お待ちください	please wait for a short time	Just a moment, please.	ちょっと待ってください。	expression	2	4	"[""少々お待ちください"",""気をつけてください"",""急いでください"",""座ってください"",""入ってください""]"	"[""Just a moment."",""Be careful."",""Hurry up."",""Sit down."",""Come in.""]"	"[""Just a moment."",""Just a minute."",""At the moment."",""One more minute."",""Wait a moment.""]"	"[{""word"":""just a minute"",""note"":""ほぼ同じ意味の丁寧な言い方""}]"	[]
300031	3	case	場合	a situation or example	In that case, let's go home.	その場合、家に帰りましょう。	noun	3	3	"[""場合"",""理由"",""質問"",""答え"",""計画""]"	"[""case"",""reason"",""question"",""answer"",""plan""]"	"[""case"",""face"",""place"",""base"",""cage""]"	[]	[]
300032	3	I'd like to ~.	〜したいのですが	a polite way to say you want to do something	I'd like to speak to Mr. Tanaka.	田中さんとお話ししたいのですが。	expression	3	4	"[""〜したいのですが"",""〜しなければならない"",""〜することができる"",""〜するつもりです"",""〜してはいけない""]"	"[""I'd like to ~."",""I have to ~."",""I can ~."",""I am going to ~."",""I must not ~.""]"	"[""I'd like to ~."",""I'd love to ~."",""I want to ~."",""I need to ~."",""I plan to ~.""]"	"[{""word"":""I want to ~."",""note"":""より直接的でくだけた言い方""}]"	[]
300033	3	tonight	今夜	on this night	I will study tonight.	私は今夜勉強します。	adverb	1	4	"[""今夜"",""今日"",""明日"",""昨夜"",""今朝""]"	"[""tonight"",""today"",""tomorrow"",""last night"",""this morning""]"	"[""tonight"",""today"",""ton"",""tight"",""tony""]"	"[{""word"":""this evening"",""note"":""夕方から夜にかけて""}]"	[]
300034	3	next week	来週	in the week after this one	We will visit my grandma next week.	私たちは来週祖母を訪ねます。	adverb	1	4	"[""来週"",""今週"",""先週"",""来月"",""明日""]"	"[""next week"",""this week"",""last week"",""next month"",""tomorrow""]"	"[""next week"",""last week"",""next month"",""this week"",""next year""]"	[]	[]
300035	3	last year	去年	in the year before this one	I went to Kyoto last year.	私は去年京都へ行きました。	adverb	1	4	"[""去年"",""今年"",""来年"",""先月"",""先週""]"	"[""last year"",""this year"",""next year"",""last month"",""last week""]"	"[""last year"",""this year"",""next year"",""last month"",""last week""]"	[]	[]
300036	3	wash my hands	手を洗う	to clean my hands with water	I wash my hands before dinner.	私は夕食の前に手を洗います。	verb phrase	2	4	"[""手を洗う"",""顔を洗う"",""歯をみがく"",""服を着る"",""朝ごはんを食べる""]"	"[""wash my hands"",""wash my face"",""brush my teeth"",""put on my clothes"",""eat breakfast""]"	"[""wash my hands"",""watch my bag"",""wash the dish"",""close my hands"",""touch my hat""]"	[]	[]
300037	3	last week	先週	the week before this week	I visited my grandmother last week.	私は先週、祖母を訪ねました。	adverb	2	4	"[""先週"",""今週"",""先月"",""来週"",""昨日""]"	"[""last week"",""this week"",""last month"",""next week"",""yesterday""]"	"[""last week"",""next week"",""last year"",""this week"",""last night""]"	[]	[]
300038	3	wait for ~	～を待つ	to stay until someone or something comes	Please wait for me at the station.	駅で私を待っていてください。	verb phrase	2	4	"[""～を待つ"",""～を呼ぶ"",""～を見つける"",""～に会う"",""～を手伝う""]"	"[""wait for ~"",""call ~"",""find ~"",""meet ~"",""help ~""]"	"[""wait for ~"",""look for ~"",""walk with ~"",""work for ~"",""wake up ~""]"	[]	[]
300039	3	dictionary	辞書	a book that tells the meanings of words	I use a dictionary in class.	私は授業で辞書を使います。	noun	2	3	"[""辞書"",""教科書"",""ノート"",""新聞"",""地図""]"	"[""dictionary"",""textbook"",""notebook"",""newspaper"",""map""]"	"[""dictionary"",""direction"",""history"",""factory"",""holiday""]"	[]	[]
300040	3	turn on ~	つける	to start a light or machine	Please turn on the light.	電気をつけてください。	phrasal verb	2	4	"[""つける"",""消す"",""開ける"",""閉める"",""動かす""]"	"[""turn on ~"",""turn off ~"",""open ~"",""close ~"",""move ~""]"	"[""turn on ~"",""turn off ~"",""turn up ~"",""turn left"",""turn back""]"	"[{""word"":""start"",""note"":""機械などを動かし始める""}]"	"[{""word"":""turn off"",""note"":""電気や機械を消す""}]"
300041	3	turn off ~	消す	to stop a light or machine	Please turn off the TV.	テレビを消してください。	phrasal verb	2	4	"[""消す"",""つける"",""開ける"",""閉める"",""運ぶ""]"	"[""turn off ~"",""turn on ~"",""open ~"",""close ~"",""carry ~""]"	"[""turn off ~"",""turn on ~"",""turn up ~"",""turn left"",""turn back""]"	"[{""word"":""stop"",""note"":""機械などを止める""}]"	"[{""word"":""turn on"",""note"":""電気や機械をつける""}]"
300042	3	talk to ~	～と話す、～に話しかける	to speak with someone	I want to talk to my teacher.	私は先生と話したいです。	verb phrase	3	3	"[""～と話す、～に話しかける"",""～を見る"",""～を待つ"",""～を助ける"",""～を呼ぶ""]"	"[""talk to ~"",""look at ~"",""wait for ~"",""help ~"",""call ~""]"	"[""talk to ~"",""walk to ~"",""talk about ~"",""take two"",""talk again""]"	"[{""word"":""speak to"",""note"":""少しかたい言い方""}]"	[]
300043	3	take off ~	脱ぐ	to remove clothes or shoes	Please take off your shoes.	くつを脱いでください。	phrasal verb	3	3	"[""脱ぐ"",""着る"",""洗う"",""買う"",""直す""]"	"[""take off ~"",""put on ~"",""wash ~"",""buy ~"",""fix ~""]"	"[""take off ~"",""take out ~"",""get off ~"",""turn off ~"",""make up ~""]"	"[{""word"":""remove"",""note"":""ややかたい語""}]"	"[{""word"":""put on"",""note"":""服などを着る""}]"
300044	3	take a walk	散歩する	to go out and walk for a short time	We take a walk in the park.	私たちは公園で散歩します。	verb phrase	3	2	"[""散歩する"",""走る"",""泳ぐ"",""休む"",""勉強する""]"	"[""take a walk"",""run"",""swim"",""rest"",""study""]"	"[""take a walk"",""take a look"",""take a book"",""take a bus"",""take a bath""]"	"[{""word"":""walk"",""note"":""より短い言い方""}]"	[]
300045	3	take a shower	シャワーをあびる	to wash your body under a shower	I take a shower every morning.	私は毎朝シャワーをあびます。	verb phrase	2	4	"[""シャワーをあびる"",""写真をとる"",""おふろに入る"",""朝ごはんを食べる"",""歯をみがく""]"	"[""take a shower"",""take a picture"",""take a bath"",""eat breakfast"",""brush my teeth""]"	"[""take a shower"",""take a flower"",""take an hour"",""make a shower"",""take a tower""]"	[]	[]
300046	3	take a picture	写真をとる	to take a photo with a camera	Let's take a picture in the park.	公園で写真をとりましょう。	verb phrase	2	4	"[""写真をとる"",""シャワーをあびる"",""おふろに入る"",""手紙を書く"",""本を読む""]"	"[""take a picture"",""take a shower"",""take a bath"",""write a letter"",""read a book""]"	"[""take a picture"",""take a pitcher"",""take a picnic"",""make a picture"",""take a ticket""]"	[]	[]
300047	3	take a bath	おふろに入る	to wash your body in a bath	I take a bath at night.	私は夜におふろに入ります。	verb phrase	2	4	"[""おふろに入る"",""シャワーをあびる"",""写真をとる"",""顔を洗う"",""服を着る""]"	"[""take a bath"",""take a shower"",""take a picture"",""wash my face"",""get dressed""]"	"[""take a bath"",""take a bag"",""take a back"",""take a path"",""make a bath""]"	[]	[]
300048	3	swimming pool	プール	a place for swimming	There is a swimming pool near my house.	私の家の近くにプールがあります。	noun	2	3	"[""プール"",""公園"",""図書館"",""駅"",""体育館""]"	"[""swimming pool"",""park"",""library"",""station"",""gym""]"	"[""swimming pool"",""swimming school"",""living room"",""summer pool"",""swimming cap""]"	[]	[]
300049	3	I see.	なるほど、わかりました	used to show that you understand	I see. Thank you for explaining.	なるほど。説明してくれてありがとう。	expression	2	4	"[""なるほど、わかりました"",""もちろんです"",""たぶんそうです"",""気をつけてください"",""おはようございます""]"	"[""I see."",""Of course."",""Maybe."",""Be careful."",""Good morning.""]"	"[""I see."",""I sit."",""I sing."",""I said."",""I think.""]"	"[{""word"":""I understand"",""note"":""よりはっきり「理解した」""}]"	[]
300050	3	put on ~	身につける	to dress yourself in clothes or accessories	Please put on your hat.	帽子をかぶってください。	phrasal verb	2	4	"[""身につける"",""脱ぐ"",""洗う"",""作る"",""運ぶ""]"	"[""put on ~"",""take off ~"",""wash ~"",""make ~"",""carry ~""]"	"[""put on ~"",""put up ~"",""pull on ~"",""put out ~"",""put off ~""]"	"[{""word"":""wear"",""note"":""状態を表すことが多い""}]"	"[{""word"":""take off"",""note"":""服などを脱ぐ""}]"
300051	3	pick up ~	拾う	to take something from the ground	Please pick up the pen.	そのペンを拾ってください。	phrasal verb	3	4	"[""拾う"",""置く"",""運ぶ"",""見せる"",""開ける""]"	"[""pick up ~"",""put down ~"",""carry ~"",""show ~"",""open ~""]"	"[""pick up ~"",""kick up ~"",""pick out ~"",""put up ~"",""wake up ~""]"	[]	"[{""word"":""put down"",""note"":""下に置く""}]"
300052	3	must	〜しなければならない	used to say something is necessary	You must do your homework.	あなたは宿題をしなければなりません。	modal verb	3	5	"[""〜しなければならない"",""〜してはいけない"",""〜できる"",""〜するつもりだ"",""〜したい""]"	"[""must"",""must not"",""can"",""will"",""want to""]"	"[""must"",""mist"",""most"",""mess"",""mouse""]"	"[{""word"":""have to"",""note"":""mustより少し口語的""}]"	[]
300053	3	look for ~	探す	to try to find something	I am looking for my bag.	私は自分のかばんを探しています。	verb phrase	3	4	"[""探す"",""見つける"",""使う"",""借りる"",""送る""]"	"[""look for ~"",""find ~"",""use ~"",""borrow ~"",""send ~""]"	"[""look for ~"",""cook for ~"",""look at ~"",""long for ~"",""book for ~""]"	"[{""word"":""search for ~"",""note"":""ややかたい言い方""}]"	[]
300054	3	calendar	カレンダー	a chart that shows days and months	I wrote the date on the calendar.	私はカレンダーに日付を書きました。	noun	2	3	"[""カレンダー"",""時計"",""地図"",""ノート"",""辞書""]"	"[""calendar"",""clock"",""map"",""notebook"",""dictionary""]"	"[""calendar"",""camera"",""Canada"",""candle"",""color""]"	[]	[]
300055	3	very much	とても	a lot; very strongly	I like soccer very much.	私はサッカーがとても好きです。	adverb	2	4	"[""とても"",""少し"",""いつも"",""すぐに"",""いっしょに""]"	"[""very much"",""a little"",""always"",""soon"",""together""]"	"[""very much"",""very well"",""very good"",""pretty much"",""so much""]"	[]	[]
300056	3	Me too.	私も	I feel the same way	A: I like dogs. B: Me too.	A「犬が好きです。」B「私もです。」	expression	1	4	"[""私も"",""あなたも"",""彼も"",""彼女も"",""私たちも""]"	"[""Me too."",""You too."",""He does too."",""She does too."",""We do too.""]"	"[""Me too."",""You too."",""We do."",""Meet me."",""Me first.""]"	[]	[]
300057	3	vacation	休暇、休み	time when you do not go to school or work	We went to Okinawa during our vacation.	私たちは休みの間に沖縄へ行きました。	noun	2	3	"[""休暇、休み"",""宿題"",""授業"",""仕事"",""旅行""]"	"[""vacation"",""homework"",""class"",""work"",""trip""]"	"[""vacation"",""station"",""nation"",""visitor"",""vision""]"	"[{""word"":""holiday"",""note"":""英ではこちらもよく使う""}]"	[]
300058	3	piano lesson	ピアノのレッスン	a class where you learn to play the piano	I have a piano lesson after school.	私は放課後にピアノのレッスンがあります。	noun	2	2	"[""ピアノのレッスン"",""英語の授業"",""水泳の練習"",""音楽会"",""宿題""]"	"[""piano lesson"",""English class"",""swimming practice"",""concert"",""homework""]"	"[""piano lesson"",""piano room"",""science lesson"",""violin lesson"",""reading lesson""]"	[]	[]
300059	3	a lot of ~	たくさんの～	a large number or amount of something	We saw a lot of birds in the park.	私たちは公園でたくさんの鳥を見ました。	determiner	2	5	"[""たくさんの～"",""少しの～"",""いくつかの～"",""すべての～"",""まったくない～""]"	"[""a lot of ~"",""a few ~"",""some ~"",""all ~"",""no ~""]"	"[""a lot of ~"",""a little ~"",""a kind of ~"",""a bag of ~"",""a cup of ~""]"	"[{""word"":""many"",""note"":""可算名詞でよく使う""},{""word"":""lots of"",""note"":""よりくだけた形""}]"	[]
300060	3	a little	少し	a small amount	I can speak English a little.	私は英語を少し話せます。	adverb	2	4	"[""少し"",""たくさん"",""いつも"",""とても"",""すぐに""]"	"[""a little"",""very"",""always"",""often"",""well""]"	"[""a little"",""a letter"",""little"",""alive"",""late""]"	"[{""word"":""a bit"",""note"":""くだけた言い方""}]"	"[{""word"":""a lot"",""note"":""量が多い""}]"
300061	3	have a cold	かぜをひいている	to be sick with a cold	I have a cold today.	私は今日かぜをひいています。	verb phrase	2	4	"[""かぜをひいている"",""頭が痛い"",""熱がある"",""元気です"",""おなかがすいている""]"	"[""have a cold"",""have a fever"",""have a headache"",""feel fine"",""be hungry""]"	"[""have a cold"",""have a coat"",""have a card"",""have a call"",""have a cup""]"	[]	[]
300062	3	this morning	今朝	in the morning of today	I saw Ken this morning.	私は今朝ケンに会いました。	adverb	1	4	"[""今朝"",""今夜"",""昨日の朝"",""明日の朝"",""今日の午後""]"	"[""this morning"",""tonight"",""yesterday morning"",""tomorrow morning"",""this afternoon""]"	"[""this morning"",""this evening"",""this Monday"",""that morning"",""this month""]"	[]	[]
300063	3	go to school	学校に行く	to attend school or travel there	I go to school by bus.	私はバスで学校に行きます。	verb phrase	2	5	"[""学校に行く"",""家に帰る"",""公園で遊ぶ"",""朝ごはんを食べる"",""英語を勉強する""]"	"[""go to school"",""go home"",""play in the park"",""eat breakfast"",""study English""]"	"[""go to school"",""go to the pool"",""go to the store"",""go to bed"",""go to work""]"	[]	[]
300064	3	elementary school	小学校	a school for children before junior high school	My sister goes to elementary school.	私の妹は小学校に通っています。	noun	3	4	"[""小学校"",""中学校"",""高校"",""図書館"",""教室""]"	"[""elementary school"",""junior high school"",""high school"",""library"",""classroom""]"	"[""elementary school"",""middle school"",""music room"",""summer school"",""school bus""]"	"[{""word"":""primary school"",""note"":""主に英式英語で使う""}]"	[]
300065	3	get to ~	～に着く	to arrive at a place	What time do you get to the station?	あなたは何時に駅に着きますか。	verb phrase	3	5	"[""～に着く"",""～を出発する"",""～を通り過ぎる"",""～を見つける"",""～を訪れる""]"	"[""get to ~"",""leave ~"",""pass ~"",""find ~"",""visit ~""]"	"[""get to ~"",""get up"",""go to ~"",""went to ~"",""talk to ~""]"	"[{""word"":""arrive at"",""note"":""よりはっきり「到着する」""}]"	"[{""word"":""leave"",""note"":""その場所を出る""}]"
300066	3	get on ~	乗る	to enter a bus, train, or plane	We get on the bus at seven.	私たちは7時にバスに乗ります。	phrasal verb	2	4	"[""乗る"",""降りる"",""歩く"",""待つ"",""止まる""]"	"[""get on ~"",""get off ~"",""walk"",""wait"",""stop""]"	"[""get on ~"",""get up"",""get out"",""go on"",""put on ~""]"	[]	"[{""word"":""get off"",""note"":""乗り物から降りる""}]"
300067	3	get off ~	降りる	to leave a bus, train, or plane	I get off the train at this station.	私はこの駅で電車を降ります。	phrasal verb	2	4	"[""降りる"",""乗る"",""走る"",""待つ"",""止まる""]"	"[""get off ~"",""get on ~"",""run"",""wait"",""stop""]"	"[""get off ~"",""get up"",""get out"",""take off ~"",""cut off ~""]"	[]	"[{""word"":""get on"",""note"":""乗り物に乗る""}]"
300068	3	do homework	宿題をする	to study and finish school work at home	I do homework after dinner.	私は夕食のあとに宿題をします。	verb phrase	2	4	"[""宿題をする"",""勉強する"",""料理する"",""掃除する"",""買い物をする""]"	"[""do homework"",""study"",""cook"",""clean"",""shop""]"	"[""do homework"",""do housework"",""do morning work"",""do hard work"",""do home cooking""]"	[]	[]
300069	3	clean up	片づける	to make a place tidy	Please clean up after dinner.	夕食のあとに片づけてください。	phrasal verb	2	3	"[""片づける"",""洗う"",""作る"",""運ぶ"",""開ける""]"	"[""clean up"",""wash"",""make"",""carry"",""open""]"	"[""clean up"",""clear up"",""green up"",""climb up"",""line up""]"	"[{""word"":""tidy up"",""note"":""ほぼ同じ意味""}]"	"[{""word"":""mess up"",""note"":""散らかす""}]"
300070	3	clean my room	自分の部屋をそうじする	to make my room clean	I clean my room on Sunday.	私は日曜日に自分の部屋をそうじします。	verb phrase	2	2	"[""自分の部屋をそうじする"",""朝ごはんを作る"",""学校へ歩いて行く"",""テレビを見る"",""宿題をする""]"	"[""clean my room"",""make breakfast"",""walk to school"",""watch TV"",""do my homework""]"	"[""clean my room"",""close my room"",""clean the room"",""read my book"",""wash my face""]"	[]	[]
