"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
400037	4	shame	恥	the feeling of being embarrassed or sorry	He felt shame after telling a lie.	彼はうそをついたあと、恥を感じた。	noun	4	3	""[""""恥"""",""""勇気"""",""""希望"""",""""喜び"""",""""約束""""]""	""[""""shame"""",""""courage"""",""""hope"""",""""joy"""",""""promise""""]""	""[""""shame"""",""""same"""",""""shape"""",""""shake"""",""""share""""]""	""[{""""word"""":""""embarrassment"""",""""note"""":""""人前での恥ずかしさに近い""""}]""	""[{""""word"""":""""pride"""",""""note"""":""""文脈によって反対の気持ちになる""""}]"""
400038	4	harmful	有害な	causing damage or bad effects	Smoking is harmful to your health.	喫煙はあなたの健康に有害です。	adjective	4	3	""[""""有害な"""",""""安全な"""",""""便利な"""",""""静かな"""",""""重要な""""]""	""[""""harmful"""",""""helpful"""",""""careful"""",""""peaceful"""",""""useful""""]""	""[""""harmful"""",""""hopeful"""",""""careful"""",""""armful"""",""""handful""""]""	""[{""""word"""":""""dangerous"""",""""note"""":""""より広く「危険な」""""},{""""word"""":""""bad"""",""""note"""":""""意味は広いが基本的な語""""}]""	""[{""""word"""":""""safe"""",""""note"""":""""安全な""""},{""""word"""":""""harmless"""",""""note"""":""""害のない""""}]"""
400039	4	unfortunate	不運な	having bad luck	It was unfortunate that he missed the bus.	彼がバスに乗り遅れたのは不運でした。	adjective	5	2	""[""""不運な"""",""""幸運な"""",""""危険な"""",""""正直な"""",""""静かな""""]""	""[""""unfortunate"""",""""fortunate"""",""""dangerous"""",""""honest"""",""""quiet""""]""	""[""""unfortunate"""",""""important"""",""""different"""",""""fortunate"""",""""understand""""]""	""[{""""word"""":""""unlucky"""",""""note"""":""""より基本的な語""""}]""	""[{""""word"""":""""fortunate"""",""""note"""":""""幸運な""""},{""""word"""":""""lucky"""",""""note"""":""""より基本的な語""""}]"""
400040	4	unfortunately	残念ながら	in a sad or unlucky way	Unfortunately, we could not win the game.	残念ながら、私たちはその試合に勝てませんでした。	adverb	5	3	""[""""残念ながら"""",""""幸運にも"""",""""静かに"""",""""突然"""",""""ゆっくり""""]""	""[""""unfortunately"""",""""luckily"""",""""quietly"""",""""suddenly"""",""""slowly""""]""	""[""""unfortunately"""",""""importantly"""",""""suddenly"""",""""carefully"""",""""certainly""""]""	""[{""""word"""":""""sadly"""",""""note"""":""""文脈によって近い""""}]""	""[{""""word"""":""""luckily"""",""""note"""":""""幸運にも""""},{""""word"""":""""fortunately"""",""""note"""":""""幸いにも""""}]"""
400041	4	scandal	不祥事	a shocking event that makes people talk badly about someone	The actor was involved in a scandal.	その俳優は不祥事に巻き込まれた。	noun	4	2	""[""""不祥事"""",""""事故"""",""""秘密"""",""""約束"""",""""習慣""""]""	""[""""scandal"""",""""accident"""",""""secret"""",""""promise"""",""""custom""""]""	""[""""scandal"""",""""candle"""",""""handle"""",""""sample"""",""""sandal""""]""	""[{""""word"""":""""disgrace"""",""""note"""":""""より強く、恥になる出来事""""}]""	[]"
400042	4	foundation	基礎	the basic part that supports something	Math is the foundation of science.	数学は科学の基礎です。	noun	4	2	""[""""基礎"""",""""頂上"""",""""表面"""",""""境界"""",""""結果""""]""	""[""""foundation"""",""""top"""",""""surface"""",""""border"""",""""result""""]""	""[""""foundation"""",""""formation"""",""""vacation"""",""""function"""",""""fashion""""]""	""[{""""word"""":""""base"""",""""note"""":""""より日常的な語""""}]""	[]"
400043	4	according to	〜によると	as said by someone or something	According to the news, it will rain tomorrow.	ニュースによると、明日は雨が降るそうです。	preposition	4	3	""[""""〜によると"""",""""〜の前に"""",""""〜の間に"""",""""〜の代わりに"""",""""〜のために""""]""	""[""""according to"""",""""before"""",""""during"""",""""instead of"""",""""because of""""]""	""[""""according to"""",""""account"""",""""across"""",""""around"""",""""against""""]""	[]	[]"
400044	4	element	要素	a basic part of something	Water is an important element of life.	水は生命の重要な要素です。	noun	5	2	""[""""要素"""",""""結果"""",""""方法"""",""""表面"""",""""目的""""]""	""[""""element"""",""""result"""",""""method"""",""""surface"""",""""purpose""""]""	""[""""element"""",""""elegant"""",""""elephant"""",""""relevant"""",""""estimate""""]""	""[{""""word"""":""""factor"""",""""note"""":""""少し広い意味で使う""""}]""	[]"
400045	4	principle	原則	a basic rule or idea	Honesty is an important principle in life.	正直であることは人生で大切な原則です。	noun	5	2	""[""""原則"""",""""結果"""",""""提案"""",""""意見"""",""""方法""""]""	""[""""principle"""",""""result"""",""""proposal"""",""""opinion"""",""""method""""]""	""[""""principle"""",""""principal"""",""""printable"""",""""private"""",""""practical""""]""	""[{""""word"""":""""rule"""",""""note"""":""""より一般的でやさしい語""""}]""	[]"
400046	4	exist	存在する	to be real or present	Do ghosts really exist?	幽霊は本当に存在するのですか。	verb	4	3	""[""""存在する"""",""""増える"""",""""変わる"""",""""続く"""",""""消える""""]""	""[""""exist"""",""""increase"""",""""change"""",""""continue"""",""""disappear""""]""	""[""""exist"""",""""except"""",""""excuse"""",""""expect"""",""""exit""""]""	""[{""""word"""":""""be"""",""""note"""":""""ごく基本的な言い換え""""}]""	""[{""""word"""":""""disappear"""",""""note"""":""""見えなくなる、存在しなくなる""""}]"""
400047	4	deserve	値する	to be good enough for something	You deserve a good rest.	あなたは十分に休むに値します。	verb	5	3	""[""""値する"""",""""避ける"""",""""断る"""",""""支える"""",""""表す""""]""	""[""""deserve"""",""""avoid"""",""""refuse"""",""""support"""",""""express""""]""	""[""""deserve"""",""""observe"""",""""reserve"""",""""preserve"""",""""desert""""]""	[]	[]"
400048	4	rhythm	リズム	a regular beat in music or movement	I like the rhythm of this song.	私はこの歌のリズムが好きです。	noun	5	3	""[""""リズム"""",""""速度"""",""""音量"""",""""拍手"""",""""旋律""""]""	""[""""rhythm"""",""""speed"""",""""volume"""",""""clap"""",""""melody""""]""	""[""""rhythm"""",""""river"""",""""reason"""",""""writer"""",""""lesson""""]""	""[{""""word"""":""""beat"""",""""note"""":""""音楽の拍のこと""""}]""	[]"
400049	4	overcome	克服する	to succeed in dealing with a problem	She worked hard to overcome her fear.	彼女は恐怖を克服するために一生懸命努力した。	verb	4	3	""[""""克服する"""",""""防ぐ"""",""""隠す"""",""""失う"""",""""支える""""]""	""[""""overcome"""",""""prevent"""",""""hide"""",""""lose"""",""""support""""]""	""[""""overcome"""",""""overcook"""",""""overlook"""",""""overload"""",""""overtake""""]""	""[{""""word"""":""""beat"""",""""note"""":""""問題や相手に勝つ感じ""""},{""""word"""":""""conquer"""",""""note"""":""""やや強い表現""""}]""	""[{""""word"""":""""give up"""",""""note"""":""""途中であきらめる""""}]"""
400050	4	ease	和らげる	to make pain or worry less strong	This medicine will ease your pain.	この薬はあなたの痛みを和らげるでしょう。	verb	4	3	""[""""和らげる"""",""""広げる"""",""""集める"""",""""壊す"""",""""運ぶ""""]""	""[""""ease"""",""""spread"""",""""gather"""",""""break"""",""""carry""""]""	""[""""ease"""",""""east"""",""""eat"""",""""eyes"""",""""ice""""]""	""[{""""word"""":""""relieve"""",""""note"""":""""痛みや心配を軽くする""""}]""	""[{""""word"""":""""worsen"""",""""note"""":""""悪化させる""""}]"""
400051	4	on account of	〜のために	because of something	The game was canceled on account of the rain.	その試合は雨のために中止された。	preposition	4	2	""[""""〜のために"""",""""〜の前に"""",""""〜の後で"""",""""〜の代わりに"""",""""〜と一緒に""""]""	""[""""on account of"""",""""before"""",""""after"""",""""instead of"""",""""with""""]""	""[""""on account of"""",""""on top of"""",""""out of"""",""""because of"""",""""in front of""""]""	""[{""""word"""":""""because of"""",""""note"""":""""最も基本的な言い方""""},{""""word"""":""""due to"""",""""note"""":""""ややかたい表現""""}]""	[]"
400052	4	come of age	成人する	to become legally an adult	In Japan, people come of age at eighteen.	日本では、人は18歳で成人する。	verb	4	2	""[""""成人する"""",""""成長する"""",""""卒業する"""",""""結婚する"""",""""就職する""""]""	""[""""come of age"""",""""grow up"""",""""graduate"""",""""get married"""",""""get a job""""]""	""[""""come of age"""",""""come on stage"""",""""come back home"""",""""call my name"""",""""go away""""]""	""[{""""word"""":""""become an adult"""",""""note"""":""""意味が近い表現""""}]""	[]"
400053	4	by the time	〜するまでに	not later than when something happens	By the time I got home, it was dark.	家に着くまでに、暗くなっていた。	conjunction	4	3	""[""""〜するまでに"""",""""〜の間に"""",""""〜のあとで"""",""""〜の前に"""",""""〜のために""""]""	""[""""by the time"""",""""during"""",""""after"""",""""before"""",""""for""""]""	""[""""by the time"""",""""buy the ticket"""",""""bite the lime"""",""""find the line"""",""""ride the bike""""]""	[]	[]"
400054	4	in advance	前もって	before something happens	Please book your ticket in advance.	前もってチケットを予約してください。	adverb	4	3	""[""""前もって"""",""""すぐに"""",""""たいてい"""",""""突然"""",""""ゆっくり""""]""	""[""""in advance"""",""""right away"""",""""usually"""",""""suddenly"""",""""slowly""""]""	""[""""in advance"""",""""in a dance"""",""""in the van"""",""""on the bench"""",""""at a glance""""]""	""[{""""word"""":""""beforehand"""",""""note"""":""""より書き言葉でも使う""""}]""	""[{""""word"""":""""later"""",""""note"""":""""後で""""}]"""
